scientificName,spp_name_corrected,Article_simple,study_id,Study_location,Study_lat,Study_long,Evidence_category,Evidence_effect,Evidence_method,Hypothesis_supported,has_data,of_quality,evidence_type,exclude_species,Mass_g_final,Order_final,source,class
Phascogale pirata,Phascogale pirata,"Woinarski, J.C.Z., Ward, S., Mahney, T., Bradley, J., Brennan, K., Ziembicki, M. and Fisher, A., 2011. The mammal fauna of the Sir Edward Pellew island group, Northern Territory, Australia: refuge and death-trap. Wildlife Research, 38(4), pp.307-322.",23,Sir Edward Pellew island group,-15.6988,136.9999,Population,Abundance,Timing,1,no,no,Population in support,included_species,181.5,Dasyuromorphia,Phylacine 1.2,Mammals
Phascogale pirata,Phascogale pirata,"Woinarski, J.C.Z., Ward, S., Mahney, T., Bradley, J., Brennan, K., Ziembicki, M. and Fisher, A., 2011. The mammal fauna of the Sir Edward Pellew island group, Northern Territory, Australia: refuge and death-trap. Wildlife Research, 38(4), pp.307-322.",24,Sir Edward Pellew island group,-15.6988,136.9999,Population,Abundance,Spatial,0,yes,no,Population not in support,included_species,181.5,Dasyuromorphia,Phylacine 1.2,Mammals
Phascogale tapoatafa,Phascogale tapoatafa,"Soderquist, T.R. and Serena, M., 1994. An experimental reintroduction programme for brush-tailed phascogales (Phascogale tapoatafa): the interface between captivity and the wild. In Creative Conservation: Interactive Management of Wild and Captive Animals (pp. 431-438). Dordrecht: Springer Netherlands.",331,Victoria,-37.58,147.46,Predation,Predation,Predation,1,no,no,Predation in support,included_species,193.5,Dasyuromorphia,Phylacine 1.2,Mammals
Phascogale tapoatafa,Phascogale tapoatafa,"Wayne, A.F., Maxwell, M.A., Ward, C.G., Wayne, J.C., Vellios, C.V. and Wilson, I.J., 2017. Recoveries and cascading declines of native mammals associated with control of an introduced predator. Journal of Mammalogy, 98(2), pp.489-501.",332,Upper Warren,-34.369999999999997,116.28,Population,Abundance,Temporal,0,yes,no,Population not in support,included_species,193.5,Dasyuromorphia,Phylacine 1.2,Mammals
Phasmasaurus maruia,Phasmasaurus maruia,"Palmas, P., Jourdan, H., Rigault, F., Debar, L., De Meringo, H., Bourguet, E., Mathivet, M., Lee, M., Adjouhgniope, R., Papillon, Y. and Bonnaud, E., 2017. Feral cats threaten the outstanding endemic fauna of the New Caledonia biodiversity hotspot. Biological Conservation, 214, pp.250-259.",260,New Caladonia,-20.904299999999999,165.61799999999999,Predation,Predation,Predation,1,no,no,Predation in support,included_species,,Squamata,,Reptiles
Phasmasaurus tillieri,Phasmasaurus tillieri,"Palmas, P., Jourdan, H., Rigault, F., Debar, L., De Meringo, H., Bourguet, E., Mathivet, M., Lee, M., Adjouhgniope, R., Papillon, Y. and Bonnaud, E., 2017. Feral cats threaten the outstanding endemic fauna of the New Caledonia biodiversity hotspot. Biological Conservation, 214, pp.250-259.",261,New Caladonia,-20.904299999999999,165.61799999999999,Predation,Predation,Predation,1,no,no,Predation in support,included_species,,Squamata,,Reptiles
Pipilo socorroensis,Pipilo socorroensis,"Ortíz-Alcaraz, A., Arnaud, G., Aguirre-Muooz, A., Galina-Tessaro, P., Mendez-Sanchez, F., Ortega-Rubio, A. 2017. Diet and home-range of the feral cat, Felis catus (Carnivora: Felidae) on Socorro Island, Revillagigedo Archipelago, Mexico. Acta Zoológica Mexicana 33(3): 482-489.",453,Socorro Island,18.797999999999998,-110.97539999999999,Predation,Predation,Predation,0,no,no,Predation not in support,included_species,39.28,Passeriformes,Avonet,Birds
Pipistrellus maderensis,Pipistrellus maderensis,Rocha R. 2015. Look what the cat dragged in: Felis silvestris catus as predators of insular bats and instance of predation on the endangered Pipistrellus maderensis. Barbastella 8: 18-21.,360,"Porto Moniz, Madeira",32.866,-17.167400000000001,Predation,Predation,Domestic cat,1,no,no,Predation in support,included_species,7,Chiroptera,Phylacine 1.2,Mammals
Plestiodon longirostris,Plestiodon longirostris,"Turner, H., Griffiths, R.A., Outerbridge, M.E. and Garcia, G., 2023. Dynamic occupancy modelling to determine the status of a Critically Endangered lizard. Oryx, 57(1), pp.23-29.",247,Bermuda,32.3078,-64.750500000000002,Population,Abundance,Spatial,1,yes,yes,Population in support,included_species,,Squamata,,Reptiles
Podarcis lilfordi,Podarcis lilfordi,"Clevenger AP (1995) Seasonality and relationships of food resource use of Martes martes, Genetta genetta and Felis catus in the Balearic Islands. Revue d´Ecologie (Terre et Vie), 50, 109-131.",428,Cabrera,19.640899999999998,-69.909000000000006,Predation,Predation,Predation,1,no,no,Predation in support,included_species,,Squamata,,Reptiles
Potorous tridactylus,Potorous tridactylus,"Arthur, A.D., Catling, P.C. and Reid, A., 2012. Relative influence of habitat structure, species interactions and rainfall on the post‐fire population dynamics of ground‐dwelling vertebrates. Austral Ecology, 37(8), pp.958-970.",343,"Nadgee Nature Reserve, New SouthWales",-37.299999999999997,149.93299999999999,Population,Abundance,Temporal,0,yes,no,Population not in support,included_species,1100,Diprotodontia,Phylacine 1.2,Mammals
Potorous tridactylus,Potorous tridactylus,"Lazenby, B.T., 2012. Do feral cats affect small mammals? A case study from the forests of southern Tasmania. PhD thesis, University of Sydney, Sydney.",333,,-42.8,146.94,Predation,Predation,Predation,1,no,no,Predation in support,included_species,1100,Diprotodontia,Phylacine 1.2,Mammals
Potorous tridactylus,Potorous tridactylus,"McHugh, D., Goldingay, R.L. and Letnic, M., 2022. Occupancy and co-occurrence patterns of endemic mammals and introduced predators across a broad geographical gradient in eastern Australia. Biodiversity and Conservation, 31(3), pp.989-1021.",340,Eastern NSW,-33.8688,151.20930000000001,Population,Abundance,Spatial,0,yes,yes,Population not in support,included_species,1100,Diprotodontia,Phylacine 1.2,Mammals
Potorous tridactylus,Potorous tridactylus,"McHugh, D., Goldingay, R.L., Link, J. and Letnic, M., 2019. Habitat and introduced predators influence the occupancy of small threatened macropods in subtropical Australia. Ecology and Evolution, 9(11), pp.6300-6317.",341,North coast bioregion of northern New South Wales,-28.389199999999999,152.94030000000001,Population,Abundance,Spatial,0,yes,yes,Population not in support,included_species,1100,Diprotodontia,Phylacine 1.2,Mammals
Potorous tridactylus,Potorous tridactylus,"Menon, V., Giljohann, K., Pascoe, J., Wintle, B., Robley, A., Town-Hopkinson, L. and Hradsky, B., 2025. Managing multiple threats: Evaluating the efficacy of broad-scale introduced predator management in improving native mammal resilience to fire. Biological Conservation, 301, p.110847.",342,"Glenelg Ark, Otway Ark",-38.133400000000002,141.62979999999999,Population,Abundance,Spatiotemporal,0,yes,yes,Population not in support,included_species,1100,Diprotodontia,Phylacine 1.2,Mammals
Potorous tridactylus,Potorous tridactylus,"Miritis, V., Rendall, A.R., Doherty, T.S., Coetsee, A.L. and Ritchie, E.G., 2020. Living with the enemy: a threatened prey species coexisting with feral cats on a fox-free island. Wildlife Research, 47(8), pp.633-642.",335,French Island NP,-38.398000000000003,145.37799999999999,Predation,Predation,Predation,1,no,no,Predation in support,included_species,1100,Diprotodontia,Phylacine 1.2,Mammals
Potorous tridactylus,Potorous tridactylus,"Miritis, V., Rendall, A.R., Doherty, T.S., Coetsee, A.L. and Ritchie, E.G., 2020. Living with the enemy: a threatened prey species coexisting with feral cats on a fox-free island. Wildlife Research, 47(8), pp.633-642.",336,French Island NP,-38.398000000000003,145.37799999999999,Population,Abundance,Spatial,0,yes,yes,Population not in support,included_species,1100,Diprotodontia,Phylacine 1.2,Mammals
