"original"
"Abbott, I. 2008. The spread of the cat, Felis catus, in Australia: re-examination of the current conceptual model with additional information. Conservation Science Western Australia 7: 1-17."
"Abbott, I., 2002. Origin and spread of the cat, Felis catus, on mainland Australia, with a discussion of the magnitude of its early impact on native fauna. Wildlife Research, 29(1), pp.51-74."
"Abe, H., Ishii, N., Ito, T., Kaneko, Y., Maeda, K., Miura, S. and Yoneda, M. 2005. A Guide to the Mammals of Japan. Tokai University Press, Kanagawa, Japan."
"Adams, J., Felis, J.J., Czapanskiy, M.A.X., Carle, R.D. and Hodum, P.J., 2019. Diving behavior of Pink-footed Shearwaters Ardenna creatopus rearing chicks on Isla Mocha, Chile. Marine Ornithology, 47, pp.17-24."
"Adams, S.B., Wheeler, J.F.G. and Edgeworth, F.H., 1929. On the innervation of the platysma and the mandibulo-auricularis. Journal of Anatomy, 63(Pt 2), p.242."
"Aguilar JS (1999) Species Action Plan For the Balearic Shearwater Puffinus mauretanicus in Europe. Prepared by BirdLife International on behalf of the European Commission"
"Aguilar JS (2000) La población de Pardela Balear (Puffinus mauretanicus) en el Parque Nacional del archipiélago de Cabrera. In: Pons GX (Ed) Las aves del Parque Nacional marítimo-terrestre del archipiélago de Cabrera (Islas Baleares, España). GOB-Ministerio de Medio Ambiente, Madrid, pp. 33-44"
"Aguirre-Muñoz, A. Bedolla-Guzmán, Y. Hernández-Montoya, J. Latofski-Robles, M. Luna-Mendoza, L. Méndez-Sánchez, F. Ortiz-Alcaraz, A. Rojas-Mayoral, E. Samaniego-Herrera, A. 2018. The conservation and restoration of the mexican islands, a successful comprehensive and collaborative approach relevant for global biodiversity. . In: Ortega-Rubio, A. (ed.), Mexican Natural Resources Management and Biodiversity Conservation, pp. 177-192. Springer."
"Ainley DG, Podolsky R, Deforest L, Spencer F, Nur N (2001) The status and population trends of the Newell’s shearwater on Kaua´i: insights from modelling. Studies in Avian Biology, 22,108-123."
"Ainley DG, Podolsky R, de Forest L, Spencer G, Nur N. 1995. Kauai Endangered Seabird Study Volume 2. The ecology of Dark‐rumped Petrels and Newell’s Shearwater on the island of Kauai, Hawaii. Final Report prepared for Electric Power Reserach Institute, Palo Alto, California. Stinson Beach, California: Prepared by Point Reyes Bird Observatory. 74 p."
"Al-Saghier, O.; Alsuhaibany, A.; Symens, P. 2000. The status of breeding seabirds. Conservation and sustainable use of biodiversity of Socotra Archipelago: Marine habitat, biodiversity and fisheries surveys and management; report of Phase II, pp. 97-104. Semnkerbergy Research Institute, Frankfurt."
"Alberts"
"Alho, M., Granadeiro, J.P., Rando, J.C., Geraldes, P. and Catry, P., 2022. Characterization of an extinct seabird colony on the island of Santa Luzia (Cabo Verde) and its potential for future recolonizations. Journal of Ornithology, 163(1), pp.301-313."
"Alterio, N. and Moller, H., 1997. Diet of feral house cats Felis catus, ferrets Mustela furo and stoats M. erminea in grassland surrounding yellow‐eyed penguin Megadyptes antipodes breeding areas, South Island, New Zealand. Journal of Zoology, 243(4), pp.869-877."
"Alterio, N., Moller, H. and Ratz, H., 1998. Movements and habitat use of feral house cats Felis catus, stoats Mustela erminea and ferrets Mustela furo, in grassland surrounding yellow-eyed penguin Megadyptes antipodes breeding areas in spring. Biological Conservation, 83(2), pp.187-194."
"Alves, R.J.V.; da Silva, N.G.; Aguirre-Muñoz, A.; Veitch, C.; Clout, M.; Towns, D. 2011. Return of endemic plant populations on Trindade Island, Brazil, with comments on the Fauna. International Conference on Island Invasives. Auckland."
"Amarasekare, P., 1993. Potential impact of mammalian nest predators on endemic forest birds of western Mauna Kea, Hawaii. Conservation Biology, 7(2), pp.316-324."
"Amarasekare, P., 1994. Ecology of introduced small mammals on western Mauna Kea, Hawaii. Journal of Mammalogy, 75(1), pp.24-38."
"Andersen, G.E., Johnson, C.N. and Jones, M.E., 2016. Sympatric predator odour reveals a competitive relationship in size-structured mammalian carnivores. Behavioral Ecology and Sociobiology, 70, pp.1831-1841."
"Andreone, F. and Guarino, F.M. 2003. Giant or long-lived? Age structure in Macroscincus coctei, an extinct skink from Cape Verde. Amphibia-Reptilia 24: 459-470."
"Andrew, P., Cogger, H., Driscoll, D., Flakus, S., Harlow, P., Maple, D., Misso, M., Pink, C., Retallick, K., Rose, K., Tiernan, B., West, J. and Woinarski, J.C.Z. 2016. Somewhat saved: a captive breeding programme for two endemic Christmas Island lizard species, now extinct in the wild. Oryx: 1-4. doi:10.1017/S0030605316001071."
"Anon. (2005). Recovery Plan for the Mountain Pygmy-possum Burramys parvus on Mt Buller, Victoria. Mt. Buller to Mt Stirling Alpine Resorts Management Board, Mt Buller."
"Anon. 2001. Penguin losses blamed on cats. Otago Daily Times, December 28."
"Anthony, A. W. 1925. Expedition to Guadalupe Island, Mexico, in 1922: Birds and mammals. Proceedings of the California Academy of Sciences (Fourth Series) 14: 277-320. https://ia601309.us.archive.org/34/items/biostor-78015/biostor-78015.pdf"
"Apaza, M., Valqui, J. and Castañeda, C. 2003. Estado de Conservación de las Poblaciones de Spheniscus humboldti y Lontra felina en la Costa Norte del Perú. Instituto Nacional de Recursos Naturales (INRENA), Lima."
"Apps, P.J. 1983. Aspects of the ecology of feral cats on Dassen Island, South Africa. South African Journal of Zoology, 18, 393-399."
"Arcos, J.M. & Oro, D. 2004. Pardela balear, Puffinus mauretanicus. In: Madroño, A., González, C. & Atienza, J.C (ed.), Libro Rojo de las Aves de España, pp. 46-50. Dirección General para la Biodiversidad - SEO/BirdLife, Madrid."
"Arcos, J.M., 2011. International species action plan for the Balearic shearwater, Puffinus mauretanicus. SEO/BirdLife and BirdLife International, pp.1-51."
"Arcos, J.M., Bécares, J., Cama, A. & Rodríguez, B. 2012c. 2012c. Estrategias marinas, grupo aves: evaluación inicial y buen estado ambiental. IEO & SEO/BirdLife. Ministerio de Agricultura, Alimentación y Merdio Ambiente http://www.magrama.gob.es/es/costas/temas/estrategias-marinas/0_Documento_grupo_aves_tcm7-223807.pdf."
"Ardura E, Calabuig P (1993) Depredacio´n de pequen˜os procelariformes y control de gatos asilvestrados en el islote de Lobos. Unpublished report to the Unidad de Fauna, Viceconsejerı´a de Medio Ambiente, Consejerı´a de Polı´tica Territorial, Gobierno de Canarias, Las Palmas de Gran Canaria"
"Arnaud G, Rodríguez A, Álvarez-Cárdenas S (1994) El gato doméstico (Felis catus), implicaciones de su presencia y alternativas para su erradicación. In: La isla Socorro, Reserva de la Biosfera Archipiélago de Revillagigedo, Mexico (eds Ortega-Rubio A, Castellanos-Vera A) pp. 319-327. Centro de Investigaciones Biológicas del Noroeste S.C. Publicación No. 8."
"Arnaud, G., Rodríguez, A., Ortega-Rubio, A. and Álvarez-Cárdenas, S., 1993. Predation by cats on the unique endemic lizard of Socorro Island (Urosaurus auriculatus), Revillagigedo, Mexico."
"Arnold 2000"
"Arnold, E.N. 1980. Recently extinct reptile populations from Mauritius and Réunion, Indian Ocean. Journal of Zoology 191: 33-47."
"Arnold, E.N. 2000. Using fossils and phylogenies to understand evolution of reptile communities on islands. In: G. Rheinwold (ed.), Isolated Vertebrate Communities in the Tropics, Vol. 46, pp. 309-323. Bonner Zoologische Monographien."
"Arnold, E.N. and Jones, C.G. 1994. The night geckos of the genus Nactus in the Mascarene islands with a description of the distinctive population on Round Island. Dodo, Journal of the Jersey Wildlife Preservation Trusts 30: 119-131."
"Arthur, A.D., Catling, P.C. and Reid, A., 2012. Relative influence of habitat structure, species interactions and rainfall on the post‐fire population dynamics of ground‐dwelling vertebrates. Austral Ecology, 37(8), pp.958-970."
"Ashby E (1924) Notes on extinct or rare Australian birds, with suggestions as to some of the causes of their disappearance. Emu 23, 294–298."
"Atkinson IAE, Atkinson TJ (2000) Land vertebrates as invasive species on islands served by the South Pacific Regional Environment Programme. In: Invasive species in the Pacific: a technical review and draft regional strategy (ed Sherley G) pp. 19-84. South Pacific Regional Environment Programme, Apia, Samoa."
"Augros, S. and Hawlitschek, O. 2019. Monographies. In: Augros, S. (ed.), Atlas des reptiles et amphibiens terrestres de l'archipel des Comores, pp. 81-213. Biotope éditions, Mèze, Muséum national d'Histoire naturelle, Paris (Collection Inventaires & biodiversité)."
"Augusteyn, J., McCarthy, M.A., Robley, A., Pople, A., Nolan, B., Hemson, G., Melzer, R., Richards, S. and Dinwoodie, A., 2022. Bringing back the endangered bridled nail-tailed wallaby at Taunton National Park (Scientific) through effective predator control. Wildlife Research, 49(4), pp.382-398."
"Augusteyn, J., Rich, M., Story, G. and Nolan, B., 2020. Canids potentially threaten bilbies at Astrebla downs National Park. Australian Mammalogy, 43(3), pp.300-310."
"Axel, A.C., Whetzel, M., Harshbarger, B.M. and Randria, E., 2024. Preliminary Survey of Native and Invasive Carnivores in a Community Forest in Southwestern Madagascar. African Journal of Ecology, 62(4), p.e70001."
"Azumi, S., Watari, Y., Oka, N. and Miyashita, T., 2021. Seasonal and spatial shifts in feral cat predation on native seabirds vs. non-native rats on Mikura Island, Japan. Mammal Research, 66(1), pp.75-82."
"B. A. Modinger et al., “Population and habitat viability assessment for the Humboldt penguin (Spheniscus humboldti). Final report” (ICUN/SSC Conservation Breeding Specialist Group, Apple Valley, 2000)."
"B. D. Lloyd, Advances in New Zealand mammalogy 1990–2000: Short-tailed bats. Journal of the Royal Society of New Zealand. 31, 59–81 (2001)."
"B. Gangloff, P. Raust, J.-C. Thibault, V. Bretagnolle, Notes on the Phoenix Petrel (Pterodroma alba) from Hatuta'a Island, Marquesas. Waterbirds. 32, 453–458 (2009)."
"B. Hardman, ""Reintroduction ecology of mala (Lagorchestes hirsutus) and merrnine (Lagostrophus fasciatus) at Shark Bay, Western Australia"", thesis, Edith Cowan University, Joondalup (2010)."
"B. Miller, K. J. Mullette, Rehabilitation of an endangered Australian bird: The Lord Howe Island woodhen Tricholimnas sylvestris (Sclater). Biological Conservation. 34, 55–95 (1985)."
"B. S. Keitt et al., “El impacto de los gatos introducidos (Felis catus) en el ecosistema de Isla Guadalupe” (2006), (available at http://www2.inecc.gob.mx/publicaciones/libros/477/cap14.html)."
"B. Tershy in litt. 2007"
"B. Wilson pers. comm. 2015"
"B. Wilson, R. van Ween, Jamaican Iguana Recovery Project, 2005 update. Iguana Specialist Group Newsletter. 8, 4–6 (2005)."
"BEST Initiative. 2016. Conservation of the Critically Endangered Niau Kingfisher by the Local Community. Available at: http://www.best2portal.org/sites/best/files/factsheets/939-iucn/1653-best2-0projectfactsheeten.pdf. (Accessed: 31st May 2018)."
"BRETAGNOLLE, V., DAVID, Y., GHESTEMME, T., BUTAUD, J.F., WITHERS, T., SHIRIHAI, H. and THIBAULT, J.C., 2025. A petrel breeding diversity hotspot: Raivavae Island (Austral Islands, French Polynesia), with a need for conservation action. Marine Ornithology, 53(1), pp.163-171."
"Bain, K., Halley, M. and Wayne, A. 2023. Severe, large-scale bushfire threatens metapopulation function of quokka (Setonix brachyurus) in south-western Australia. International Journal of Wildland Fire 32: 1175-1186."
"Bain, K., Wayne, A. and Bencini, R. 2019. Spatial ecology of the quokka (Setonix brachyurus) in the southern forests of Western Australia: implications for the maintenance, or restoration, of functional metapopulations. Australian Mammalogy 42: 38-47."
"Bain, K., Wayne, A. and Bencini, R., 2015. Risks in extrapolating habitat preferences over the geographical range of threatened taxa: a case study of the quokka (Setonix brachyurus) in the southern forests of Western Australia. Wildlife Research, 42(4), pp.334-342."
"Bain, K.T., 2015. The ecology of the quokka (Setonix brachyurus) in the southern forests of Western Australia. Doctoral Thesis, The University of Western Australia."
"Baird, B. and Dann, P. 2003. The breeding biology of hooded plovers, Thinornis rubricollis, on Phillip Island, Victoria. Emu 103(4): 323-328."
"Baker, R.T. and Beveridge, I., 2001. Imidacloprid treatment of marsupials for fleas (Pygiopsylla hoplia). Journal of Zoo and Wildlife Medicine, 32(3), pp.391-392."
"Balasubramanian, S., Curtis-Robles, R., Chirra, B., Auckland, L.D., Mai, A., Bocanegra-Garcia, V., Clark, P., Clark, W., Cottingham, M., Fleurie, G. and Johnson, C.D., 2022. Characterization of triatomine bloodmeal sources using direct Sanger sequencing and amplicon deep sequencing methods. Scientific Reports, 12(1), p.10234."
"Banko 2009"
"Banko PC, David RE, Jacobi JD, Banko WE (2001) Conservation status and recovery strategies for endemic Hawaiian birds. Studies in Avian Biology, 22, 359-376."
"Banko, P. C. 1992. Constraints on productivity of wild Nene or Hawaiian Geese Branta sandvicensis. Wildfowl 43: 99-106."
"Banko, P. C. and Farmer, C. 2014. Palila restoration research, 1996-2012. Hawai‘i Cooperative Studies Unit Technical Report HCSU-046. University of Hawai‘i at Hilo. Available at: http://www.uhh.hawaii.edu/hcsu/publications.php]."
"Banko, P. C., Ball, D. L., Banko, W. E. 2002. Hawaiian crow (Corvus hawaiiensis). In: A. Poole and F. Gill (eds), The Birds of North America, No. 648, The Birds of North America, Inc, Philadelphia, PA."
"Banko, P. C., Camp, R. J., Farmer, C., Brinck, K. W., Leonard, D. L., Stephens, R. M. 2013. Response of palila and other subalpine Hawaiian forest bird species to prolonged drought and habitat degradation by feral ungulate. Biol. Conserv. 157: 70-77."
"Banko, P. C., Jaenecke, K. A., Peck, R. W., Brinck, K. W. 2019. Increased nesting success of Hawaii Elepaio in response to the removal of invasive black rats. The Condor 121(2): duz003."
"Banko, P. C., K. W. Brinck, C. Farmer, and S. C. Hess. 2009. Palila. Pp. 513−529 in T. K. Pratt, C. T. Atkinson, P. C. Banko, J. D. Jacobi, and B. L. Woodworth (editors). Conservation biology of Hawaiian forest birds: implications for island avifauna. Yale University Press, New Haven, CT."
"Banko, P., C. Farmer, S. Hess, K. Brinck, G. Beauprez, J. Castner, J. Crummer, R. Danner, B. Hsu, K. Kozar, J. Leialoha, A. Lindo. B. Muffler, C. Murray, D. Nelson, D. Pollock, M. Schwarzfeld, K. Rapozo, and E. Severson. 2004. Palila Restoration Project, 2004. Summary of Results, 1996-2004 (pages 19.2-19.6)"
"Banko, P.C., Hess, S.C., Scowcroft, P.G., Farmer, C., Jacobi, J.D., Stephens, R.M., Camp, R. J., Leonard, D. L., Brinck, K. W., Juvik, J. O., Juvik, S. P. 2014. Evaluating the long-term management of introduced ungulates to protect the palila, an endangered bird, and its critical habitat in subalpine forest of Mauna Kea. Arct. Antarct. Alp. Res. 46: 871-889."
"Banko, P.C., Johnson, L., Lindsey, G.D., Fancy, S.G., Pratt, T.K., Jacobi, J.D. & Banko, W.E. (in press) Palila (Loxioides Bailleui). The Birds of North America (eds A. Poole and F. Gill). The Birds of North America, Inc., Philadelphia, PA, USA."
"Banko, W. E., & Elder, W. H. 1990. History of endemic Hawaiian birds: population histories, species accounts: scrub-grassland birds: Nene-Hawaiian Goose. Hawaii Field Research Center, Hawaii Volcanoes National Park."
"Bannister, H.L., Letnic, M., Blumstein, D.T. and Moseby, K.E., 2021. Individual traits influence survival of a reintroduced marsupial only at low predator densities. Animal Conservation, 24(5), pp.904-913."
"Barbraud, C., Des Monstiers, B., Chaigne, A., Marteau, C., Weimerskirch, H. and Delord, K., 2021. Predation by feral cats threatens great albatrosses. Biological Invasions, 23, pp.2389-2405."
"Barbraud, C.; Delord, K.; Marteau, C.; Weimerskirch, H. 2009. Estimates of population size of White-chinned Petrels and Grey Petrels at Kerguelen Islands and sensitivity to fisheries. Animal Conservation 12(3): 258-265."
"Barker D, Williams M 2002. Breeding of brown teal (Anas chlorotis) at Okiwi, Great Barrier Island. Notornis 49: 199–208."
"Barker, D. 1998. Brown teal on Okiwi Station, Pt 1: July 1997-June 1998. Internal report, Department of Conservation, Great Barrier Island."
"Barker, D. 1999. Brown teal on Okiwi Station, Pt 2: July 1998-June 1999. Internal report, Department of Conservation, Great Barrier Island."
"Barnett BD 1986 Eradication and control of feral cats and free-ranging dogs in the Galapagos Islands. Proceedings of the Twelfth Vertebrate Pest Conference, Nebraska, 358-68."
"Barrio, I.C., Bueno, C.G., Banks, P.B. and Tortosa, F.S., 2010. Prey naiveté in an introduced prey species: the wild rabbit in Australia. Behavioral Ecology, 21(5), pp.986-991."
"Basse, B., McLennan, J.A. and Wake, G.C. 1999. Analysis of the impact of stoats, Mustela erminea, on the northern brown kiwi, Apteryx mantelli, in New Zealand. Journal of Wildlife Research 26: 227-237."
"Baynes, A. (1979). The analysis of a Late Quaternary mammal fauna from Hastings Cave, Jurien, Western Australia. Ph.D. thesis, University of Western Australia, Perth."
"Baynes, A. (1990). The mammals of Shark Bay, Western Australia. In Research in Shark Bay, ed. P.F. Berry, S.D. Bradshaw & B.R. Wilson. Western Australian Museum, Perth, pp. 313-25."
"Becke, L. (1908). ‘The Call of the South.’ (John Milne: London.)"
"Bell BD, Robertson CJR (1994) Seabirds of the Chatham Islands. In: Seabirds on islands (eds Nettleship DN, Burger J, Gochfeld M) pp. 219-228. Birdlife International, Cambridge."
"Bell, B.D. 1990. The status and management of the White-breasted White-eye and other birds on Norfolk Island. Report to Australian National Parks and Wildlife Service, Canberra."
"Bell, D. and Bell, M., 2000. SHORT NOTE Discovery of a second natural wild population of the New Zealand shore plover (Thinornis novaeseelandiae). Notornis, 47, pp.166-167."
"Bell, E.A. 2013. Black petrel In: Miskelly, C.M. (ed.) New Zealand Birds Online.
www.nzbirdsonline.org.nz (Accessed 15 September 2017)."
"Bell, M., 2017. Population size, breeding success and predators of black-fronted tern (Chlidonias albostriatus) in the Upper Clarence River catchment, New Zealand. Notornis, 64(3), pp.154-161."
"Bell, T., Wilson, C. and Herbert, S. 2012. Determining a conservation threat classification for the Nevis skink, Oligosoma toka. BioGecko 1: 16-28."
"Bennett, G. (1862). Observations on the tooth-billed pigeon (Didunculus strigirostris Peale) inhabiting the Samoan or Navigator Group of Islands, southern Pacific Ocean. Sydney Morning Herald, 19 August: 2."
"Bennett, G. (1863). Letters to the Secretary, 18 June, 18 July, 19 August. Proceedings of the Zoological Society of London 31, 372–374."
"Bennett, G. (1864). Notes on the Didunculus strigirostris, or tooth-billed pigeon. Proceedings of the Zoological Society of London 32, 139–143."
"Benshemesh, J. 1992. The conservation ecology of Malleefowl, with particular regard to fire. Pages 1-224.Monash University, Clayton."
"Bentz, E.J., Rivera Rodríguez, M.J., John, R.R., Henderson, R.W. and Powell, R. 2011. Population densities, activity, microhabitats, and thermal biology of a unique crevice and litter-dwelling assemblage of reptiles on Union Island, St. Vincent and the Grenadines. Herpetological Conservation and Biology 6(1): 40-50."
"Bentz, E.J., Rodríguez, M.R., John, R.R., Henderson, R.W. and Powell, R., 2011. Population densities, activity, microhabitats, and thermal biology of a unique crevice-and litter-dwelling assemblage of reptiles on Union Island, St. Vincent and the Grenadines. Herpetological Conservation and Biology, 6(1), pp.40-50."
"Berlin, K. E., VanGelder, E. M. 1999. 'Akohekohe Palmeria dolei. In: Poole, A.; Gill, F. (ed.), The birds of North America, 400, pp. 1-16. The Birds of North America, Inc., Philadelphia."
"Berris, K.K., Cooper, S.J., Breed, W.G., Berris, J.R. and Carthew, S.M., 2020. A comparative study of survival, recruitment and population growth in two translocated populations of the threatened greater bilby (Macrotis lagotis). Wildlife Research, 47(5), pp.415-425."
"Berruti A (1986) The predatory impact of feral cats Felis catus and their control on Dassen Island. S Afr J Antarct Res 16:123-127"
"Berruti, A., 1971. The predatory impact of feral cats Felis catus and their control on Dassen Island. Vol 4."
"Berruti, A., Cooper, J. and Newton, I.P., 1995. Morphometrics and breeding biology of the Whitechinned Petrel Procellaria aequinoctialis at sub-Antarctic Marion Island. Ostrich, 66(2-3), pp.74-80."
"Best, H. A. and Powlesland, R. G. (1985) Kakapo. Dunedin: J. Mclndoe and New Zealand Wildlife Service."
"Biological Resources Division, unpubl."
"Bird J.P., Carlile N., Miller, M.G.R. 2014. A review of records and research actions for the Critically Endangered Beck’s Petrel Pseudobulweria becki. Bird Conservation International 24: 287-298."
"Bird, J.P., Fuller, R.A. and Shaw, J.D., 2024. Patterns of recovery in extant and extirpated seabirds after the world's largest multipredator eradication. Conservation Biology, 38(4), p.e14239."
"BirdLife International (2000). Threatened birds of the world. Lynx Edicions and BirdLife International, Barcelona and Cambridge."
"BirdLife International (2018). Species factsheet: White-capped Albatross Thalassarche steadi. Downloaded from https://datazone.birdlife.org/species/factsheet/white-capped-albatross-thalassarche-steadi  on 15/05/2025"
"BirdLife International. 2001. Threatened birds of Asia: the BirdLife International Red Data Book. BirdLife International, Cambridge, U.K."
"BirdLife International. 2020. Species factsheet: Eurostopodus nigripennis [cited 17 Nov 2020]. http://www.birdlife.org"
"Birds Caribbean. 2021. The Caribbean has Two New Bird Species. Sadly, They May Both be Extinct. Available at: https://www.birdscaribbean.org/2021/07/the-caribbean-has-two-new-bird-species-sadly-they-may-both-be-extinct/."
"Bisbal, F., 2008. The terrestrial vertebrates of the Federal Dependences of Venezuela. Interciencia, 33(2), pp.103-111."
"Bissessur, P. and Florens, F.B.V. 2018. Predation of the Mauritius endemic Macchabé Skink, Gongylomorphus bojerii fontenayi, by the Common myna, Acridotheres tristis. Bulletin Phaeton 48: 91-93."
"Biswell, S. 2006. Ferals filmed killing endangered chicks. Forest and Bird 319."
"Biteman, D. S., B. E. Cross, A. S. Bridges, and D. K. Garcelon. 2015. Predator research and ecosystem management in support of the recovery of the San Clemente loggerhead shrike on San Clemente Island: final annual report-2014. Natural Resources Office, Naval Base Coronado, San Diego, CA."
"Blanchard, P., Delord, K., Bodin, A., Guille, K., Getti, T. and Barbraud, C., 2024. Impact and control of feral cats preying on wandering albatrosses: Insights from a field experiment. Ecosphere, 15(2), p.e4792."
"Blanvillain, C., Florent, C. and Thenot, V., 2002. Land birds of Tuamotu Archipelago, Polynesia: relative abundance and changes during the 20th century with particular reference to the critically endangered Polynesian ground-dove (Gallicolumba erythroptera). Biological conservation, 103(2), pp.139-149."
"Blanvillain, C., Thorsen, M. 2003. The biology of the critically endangered Marquesan Imperial-Pigeon (Ducula galeata), Nuku Hiva, Marquesas Archipelago (French Polynesia). Emu 103: 381-386."
"Bloomer JP, Bester MN (1990) Diet of a declining feral cat Felis catus population on Marion Island. South African Journal of Wildlife Research, 20, 1-4."
"Blumstein, D.T., Letnic, M. and Moseby, K.E., 2019. In situ predator conditioning of naive prey prior to reintroduction. Philosophical Transactions of the Royal Society B, 374(1781), p.20180058."
"Blumton, A. K. 1989. Factors affecting Loggerhead Shrike mortality in Virginia. M.Sc. thesis, Virginia Polytechnic Institute and State University, Blacksburg, Virginia."
"Blythman, M., Lohr, C., Sims, C. and Morris, K., 2020. Translocation of Golden Bandicoots, Isoodon auratus barrowensis, from a fenced enclosure to unfenced managed land on Matuwa (formally Lorna Glen) September 2015: Final Report. Department of Biodiversity Conservation and Attractions, Perth Western Australia, 43."
"Boersma PD 1977. An ecological and behavioural study of the Galapagos penguin. Living Bird 15:43-93."
"Boersma, P.D., Steinfurth, A., Merlen, G., Jímeñez-Uzcategui, G., Vargas, H., and P. Parker. 2013. Galápagos Penguin (Spheniscus mendiculus). In Penguins: Natural History and Conservation (Garcia-Borboroglu and Boersma eds.) University of Washington Press. Seattle, WA.: 286-302."
"Boersma, P.D., Steinfurth, A., Merlen, G., Jímeñez-Uzcategui, G., Vargas, H., and P. Parker. 2015. Pingüino de Galápagos (Spheniscus mendiculus). En Pingüinos: Historia Natural y Conservación (Garcia-Borboroglu and Boersma eds.) Vazquez Mazzini Editores. Buenos Aires, Argentina: 308-328."
"Bonnaud, E., Berger, G., Bourgeois, K., Legrand, J. and Vidal, E. 2012. Predation by cats could lead to the extinction of the Mediterranean endemic Yelkouan Shearwater Puffinus yelkouan at a major breeding site. Ibis 154(3): 566-577."
"Bonnaud, E., Bourgeois, K., Vidal, E., Kayser, Y., Tranchant, Y. and Legrand, J., 2007. Feeding ecology of a feral cat population on a small Mediterranean island. Journal of Mammalogy, 88(4), pp.1074-1081."
"Bonnaud, E., Medina, F.M., Vidal, E., Nogales, M., Tershy, B., Zavaleta, E., Donlan, C.J., Keitt, B., Le Corre, M. and Horwath, S.V., 2011. The diet of feral cats on islands: a review and a call for more studies. Biological Invasions, 13, pp.581-603."
"Bonnaud, E., Palmas, P., Bourgeois, K., Ollier, S., Zarzoso-Lacoste, D. and Vidal, E., 2015. Island specificities matter: cat diet differs significantly between islands of a major breeding archipelago for a vulnerable endemic seabird. Biological Invasions, 17, pp.2927-2941."
"Borkin, K.M., Easton, L. and Bridgman, L., 2023. Bats attacked by companion and feral cats: evidence from indigenous forest and rural landscapes in New Zealand. New Zealand Journal of Zoology, 50(3), pp.425-432."
"Borroto-Páez, R. and Espinosa Romo, A. 2011. La jutía carabalí. In: R. Borroto-Páez. and C.A. Mancina (eds), Mamíferos en Cuba, pp. 82-89. UPC Print, Vaasa, Finland."
"Borroto-Páez, R. and Mancina, C.A., 2017. Biodiversity and conservation of Cuban mammals: past, present, and invasive species. Journal of Mammalogy, 98(4), pp.964-985."
