"","scientificName","spp_name_corrected","assessmentId","internalTaxonId","realm","systems","assessmentDate","redlistCategory","criteriaVersion","populationTrend","Synonyms_or_previous_lump","Cat_effect","EXCLUDE_cats_not_attributed","Web_of_Science_no_claim","Snowball","Wallach_AU_mammal_no_claim","Opportunistic","IUCN_references","Doherty_references0_NA","Dickman_AU_mammal","Medina_references0_NA","Woinarski_AU_mammal","Garnett2020_AU_birds","Garnett2010_AU_birds","Alberts_iguanas","Oedin_bats","Welch_bats","Hume_EX_birds","Hess","Search_conducted","Mass_g_final","exclude_species","class"
"43","Aphrastura masafuerae","Aphrastura masafuerae",235928752,22702156,"Neotropical","Terrestrial|Freshwater (=Inland waters)","2023-08-17 00:00:00 UTC","Critically Endangered",3.1,"Stable","Aphrastura masafucrae","Predation",NA,2,2,"",NA,3,2,"",NA,"","","","","","","",NA,"2025-07-01T00:00:00Z",NA,"included_species","Birds"
"44","Aplonis santovestris","Aplonis santovestris",119060447,22710485,"Oceanian","Terrestrial","2017-10-01 00:00:00 UTC","Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,0,1,"",NA,"","","","","","","",NA,"2025-04-01T00:00:00Z",68.66,"included_species","Birds"
"45","Apteryx australis","Apteryx australis",214272214,22678122,"Australasian","Terrestrial","2022-08-11 00:00:00 UTC","Vulnerable",3.1,"Decreasing",NA,"Predation",NA,2,2,"",NA,2,4,"",1,"","","","","","","",NA,"2025-05-01T00:00:00Z",2320.51,"included_species","Birds"
"46","Apteryx haastii","Apteryx haastii",214091794,22678132,"Australasian","Terrestrial","2022-08-10 00:00:00 UTC","Vulnerable",3.1,"Decreasing",NA,"Predation",NA,1,NA,"",NA,0,1,"",NA,"","","","","","","",NA,"2025-07-01T00:00:00Z",2022.68,"included_species","Birds"
"47","Apteryx mantelli","Apteryx mantelli",119177586,45353580,"Oceanian","Terrestrial","2017-10-01 00:00:00 UTC","Vulnerable",3.1,"Stable",NA,"Predation",NA,9,NA,"",NA,4,5,"",NA,"","","","","","","",NA,"2025-04-01T00:00:00Z",2320.51,"included_species","Birds"
"48","Ardenna creatopus","Ardenna creatopus",132633266,22698195,"Nearctic|Neotropical","Terrestrial|Marine","2018-08-07 00:00:00 UTC","Vulnerable",3.1,"Unknown","Puffinus creatopus","Predation",NA,5,NA,"",NA,1,1,"",NA,"","","","","","","",NA,"2025-05-01T00:00:00Z",743.99,"included_species","Birds"
"49","Aristelliger hechti","Aristelliger hechti",115347895,203169,"Neotropical","Terrestrial","2015-07-23 00:00:00 UTC","Vulnerable",3.1,"Unknown",NA,"Predation",NA,0,NA,"",NA,1,NA,"",NA,"","","","","","","",NA,"2025-04-01T00:00:00Z",NA,"included_species","Reptiles"
"50","Aspidoscelis catalinensis","Aspidoscelis catalinensis",12758948,64255,"Nearctic","Terrestrial","2007-03-01 00:00:00 UTC","Vulnerable",3.1,"Stable","Cnemidophorus catalinensis","Predation",NA,0,NA,"",NA,0,1,"",NA,"","","","","","","",NA,"2025-01-01T00:00:00Z",NA,"included_species","Reptiles"
"51","Atelopus guanujo","Atelopus guanujo",98641500,54515,"Neotropical","Terrestrial|Freshwater (=Inland waters)","2016-07-16 00:00:00 UTC","Critically Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,0,NA,"",NA,"","","","","","","",NA,"2025-03-01T00:00:00Z",NA,"included_species","Amphibians"
"52","Atopogale cubana","Atopogale cubana",22327125,20320,"Neotropical","Terrestrial","2015-11-20 00:00:00 UTC","Endangered",3.1,"Decreasing","Atopogale cubanus, Solenodon cubanus","Predation",NA,0,NA,"",NA,0,NA,"",1,"","","","","","","",NA,"2025-01-01T00:00:00Z",NA,"included_species","Mammals"
"53","Atrichornis clamosus","Atrichornis clamosus",213149507,22703612,"Australasian","Terrestrial|Freshwater (=Inland waters)","2022-01-21 00:00:00 UTC","Endangered",3.1,"Stable",NA,"Predation",NA,0,NA,"",NA,3,2,"",NA,"","2","2","","","","",NA,"2025-05-01T00:00:00Z",42.15,"included_species","Birds"
"54","Atrichornis rufescens","Atrichornis rufescens",213120966,22703608,"Australasian","Terrestrial","2022-01-21 00:00:00 UTC","Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,1,NA,"",NA,"","","","","","","",NA,"2025-07-01T00:00:00Z",24,"included_species","Birds"
