scientificName,spp_name_corrected,assessmentId,internalTaxonId,realm,systems,assessmentDate,redlistCategory,criteriaVersion,populationTrend,Synonyms_or_previous_lump,Cat_effect,EXCLUDE_cats_not_attributed,Web_of_Science_no_claim,Snowball,Wallach_AU_mammal_no_claim,Opportunistic,IUCN_references,Doherty_references0_NA,Dickman_AU_mammal,Medina_references0_NA,Woinarski_AU_mammal,Garnett2020_AU_birds,Garnett2010_AU_birds,Alberts_iguanas,Oedin_bats,Welch_bats,Hume_EX_birds,Hess,Search_conducted,Mass_g_final,exclude_species,class
Correlophus sarasinorum,Correlophus sarasinorum,123259501,176213,Australasian,Terrestrial,2017-12-11 00:00:00 UTC,Vulnerable,3.1,Decreasing,Rhacodactylus sarasinorum,Predation,,0,,,,1,,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,
Corvus hawaiiensis,Corvus hawaiiensis,94048187,22706052,Oceanian,Terrestrial,2016-10-01 00:00:00 UTC,Extinct in the Wild,3.1,,NA,"Predation, disease",,2,,,,4,2,,2,,,,,,,,,2025-03-01T00:00:00Z,518.82,included_species,Birds
Corvus kubaryi,Corvus kubaryi,129626293,22705959,Oceanian,Terrestrial,2018-08-07 00:00:00 UTC,Critically Endangered,3.1,Decreasing,NA,Predation,,2,,,,1,2,,,,,,,,,,,2025-04-01T00:00:00Z,249.92,included_species,Birds
Coturnix novaezelandiae,Coturnix novaezelandiae,227794604,22678955,Oceanian,Terrestrial,2023-02-09 00:00:00 UTC,Extinct,3.1,,NA,Predation,,0,,,,2,1,,,,,,,,,0,,2025-05-01T00:00:00Z,,included_species,
Crithagra concolor,Crithagra concolor,176571427,22720310,Afrotropical,Terrestrial,2020-06-04 00:00:00 UTC,Critically Endangered,3.1,Decreasing,"Amblyospiza concolor, Neospiza concolor",Predation,,0,,,,1,,,,,,,,,,,,2025-06-01T00:00:00Z,50,included_species,Birds
Crocidura canariensis,Crocidura canariensis,221582276,5560,Palearctic,Terrestrial,2022-08-23 00:00:00 UTC,Endangered,3.1,Decreasing,NA,Predation,,1,,,,3,1,,,,,,,,,,,2025-07-01T00:00:00Z,7.5,included_species,Mammals
Crocidura trichura,Crocidura trichura,22304640,136379,Australasian,Terrestrial,2015-07-18 00:00:00 UTC,Critically Endangered,3.1,Decreasing,NA,Predation,,0,,Cats not mentioned,,0,3,Cats not mentioned,,0,,,,,,,,2025-01-01T00:00:00Z,5.3,included_species,Mammals
Crotalus catalinensis,Crotalus catalinensis,12764544,64314,Nearctic,Terrestrial,2007-03-01 00:00:00 UTC,Critically Endangered,3.1,Decreasing,NA,Predation,,0,,,,1,1,,,,,,,,,,,2025-01-01T00:00:00Z,,included_species,Reptiles
Cryptoblepharus boutonii,Cryptoblepharus boutonii,1374500,172864,Afrotropical,Terrestrial,2020-01-31 00:00:00 UTC,Near Threatened,3.1,Stable,Scincus boutonii,Predation,,0,,,,5,,,,,,,,,,,,2025-01-01T00:00:00Z,,included_species,
Cryptoblepharus caudatus,Cryptoblepharus caudatus,109452879,109452875,Afrotropical,Terrestrial,2019-10-22 00:00:00 UTC,Critically Endangered,3.1,Decreasing,Ablepharus boutoni caudatus,Predation,,0,,,,0,,,,,,,,,,,,2025-03-01T00:00:00Z,,included_species,
Cryptoblepharus egeriae,Cryptoblepharus egeriae,102327566,102327291,Indomalayan,Terrestrial,2017-02-20 00:00:00 UTC,Extinct in the Wild,3.1,,Ablepharus egeriae,Predation,,0,,,,1,,,,,,,,,,,,2025-03-01T00:00:00Z,,included_species,
Cryptoprocta ferox,Cryptoprocta ferox,45197189,5760,Afrotropical,Terrestrial,2015-02-21 00:00:00 UTC,Vulnerable,3.1,Decreasing,NA,Competition,,9,,,,1,,,,,,,,,,,,2025-03-01T00:00:00Z,9500,excluded_species,Mammals
Ctenosaura bakeri,Ctenosaura bakeri,125203850,44181,Neotropical,Terrestrial,2018-02-04 00:00:00 UTC,Critically Endangered,3.1,Decreasing,Enyaliosaurus bakeri,Predation,,1,,,,0,1,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,
Ctenosaura flavidorsalis,Ctenosaura flavidorsalis,2993811,44188,Neotropical,Terrestrial,2020-03-10 00:00:00 UTC,Near Threatened,3.1,Decreasing,NA,Predation,,0,,,,0,,,,,,,,,,,,2025-01-01T00:00:00Z,,included_species,
Ctenosaura melanosterna,Ctenosaura melanosterna,14857036,44189,Neotropical,Terrestrial,2012-03-01 00:00:00 UTC,Endangered,3.1,Decreasing,NA,Predation,,0,,,,0,1,,,,,,,,,,,2025-01-01T00:00:00Z,,included_species,
Ctenosaura oedirhina,Ctenosaura oedirhina,122558520,44191,Neotropical,Terrestrial,2018-06-05 00:00:00 UTC,Endangered,3.1,Decreasing,NA,Predation,,0,,,1,0,,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,Reptiles
Ctenotus kurnbudj,Ctenotus kurnbudj,109463631,109463625,Australasian,Terrestrial,2017-06-14 00:00:00 UTC,Endangered,3.1,Unknown,NA,Predation,,0,,,,4,,,,,,,,,,,,2025-03-01T00:00:00Z,,included_species,
