scientificName,spp_name_corrected,assessmentId,internalTaxonId,realm,systems,assessmentDate,redlistCategory,criteriaVersion,populationTrend,Synonyms_or_previous_lump,Cat_effect,EXCLUDE_cats_not_attributed,Web_of_Science_no_claim,Snowball,Wallach_AU_mammal_no_claim,Opportunistic,IUCN_references,Doherty_references0_NA,Dickman_AU_mammal,Medina_references0_NA,Woinarski_AU_mammal,Garnett2020_AU_birds,Garnett2010_AU_birds,Alberts_iguanas,Oedin_bats,Welch_bats,Hume_EX_birds,Hess,Search_conducted,Mass_g_final,exclude_species,class
Bavayia robusta,Bavayia robusta,123252960,176167,Australasian,Terrestrial,2017-12-11 00:00:00 UTC,Near Threatened,3.1,Stable,NA,Predation,,0,,,,0,,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,
Bavayia sauvagii,Bavayia sauvagii,123256289,176191,Australasian,Terrestrial,2017-12-11 00:00:00 UTC,Endangered,3.1,Decreasing,Lepidodactylus sauvagii,Predation,,0,,,,0,,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,
Bavayia septuiclavis,Bavayia septuiclavis,123257896,176202,Australasian,Terrestrial,2017-12-11 00:00:00 UTC,Near Threatened,3.1,Unknown,NA,Predation,,1,,,,1,,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,
Bellatorias obiri,Bellatorias obiri,47155335,47155317,Australasian,Terrestrial,2017-06-14 00:00:00 UTC,Critically Endangered,3.1,Decreasing,Hortonia obiri,Predation,,0,2,,,1,,,,,,,,,,,,2025-03-01T00:00:00Z,,included_species,
Bettongia anhydra,Bettongia anhydra,71510399,71510353,Australasian,Terrestrial,2014-03-17 00:00:00 UTC,Extinct,3.1,,NA,Predation,,0,,0,,1,,Cats not mentioned,,1,,,,,,,,2025-03-01T00:00:00Z,1582.3,included_species,Mammals
Bettongia gaimardi,Bettongia gaimardi,21960911,2783,Australasian,Terrestrial,2016-02-11 00:00:00 UTC,Near Threatened,3.1,Unknown,Kangurus gaimardi,Predation,,4,,3,,3,,Cats not mentioned,,Not attributed,,,,,,,,2025-01-01T00:00:00Z,1660,included_species,Mammals
Bettongia lesueur,Bettongia lesueur,21961179,2784,Australasian,Terrestrial,2016-02-11 00:00:00 UTC,Near Threatened,3.1,Unknown,"Bettongia lesueuri, Hypsiprymnus lesueur",Predation,,15,,9,1,3,,1,,2,,,,,,,,2025-01-01T00:00:00Z,1500,included_species,Mammals
Bettongia penicillata,Bettongia penicillata,21961347,2785,Australasian,Terrestrial,2012-12-31 00:00:00 UTC,Critically Endangered,3.1,Decreasing,NA,Predation,,13,,11,,2,4,1,,2,,,,,,,,2025-01-01T00:00:00Z,1300,included_species,Mammals
Bettongia tropica,Bettongia tropica,115063540,2787,Australasian,Terrestrial,2012-12-31 00:00:00 UTC,Endangered,3.1,Decreasing,NA,Predation,,2,,0,1,2,1,Cats not mentioned,,0,,,,,,,,2025-04-01T00:00:00Z,1200,included_species,Mammals
Boa orophias,Boa orophias,75171346,74866530,Neotropical,Terrestrial,2015-07-20 00:00:00 UTC,Endangered,3.1,Decreasing,Boa constrictor orophias,Predation,,0,,,,0,,,,,,,,,,,,2025-03-01T00:00:00Z,,included_species,
Bolyeria multocarinata,Bolyeria multocarinata,13483086,2864,Afrotropical,Terrestrial,2020-01-29 00:00:00 UTC,Extinct,3.1,,Eryx multocarinata,Predation,,0,,,,0,,,,,,,,,,,,2025-01-01T00:00:00Z,,included_species,
Bostrychia bocagei,Bostrychia bocagei,177028688,22697478,Afrotropical,Terrestrial,2020-06-09 00:00:00 UTC,Critically Endangered,3.1,Decreasing,NA,Predation,,0,,,,1,,,,,,,,,,,,2025-06-01T00:00:00Z,866,included_species,Birds
Botaurus poiciloptilus,Botaurus poiciloptilus,217377735,22697353,Oceanian,Freshwater (=Inland waters)|Marine,2022-06-06 00:00:00 UTC,Vulnerable,3.1,Decreasing,,Predation,,1,,,,0,,,,,0,Not attributed,,,,,,2025-05-01T00:00:00Z,1083.69,included_species,Birds
Brachylophus bulabula,Brachylophus bulabula,1414101,174471,Oceanian,Terrestrial,2012-06-19 00:00:00 UTC,Endangered,3.1,Decreasing,Brachylophus fasciatus,Predation,,0,,,,0,2,,1,,,,,,,,,2025-01-01T00:00:00Z,,included_species,
Brachylophus fasciatus,Brachylophus fasciatus,2791124,19243030,Oceanian,Terrestrial,2012-06-21 00:00:00 UTC,Endangered,3.1,Decreasing,Iguana fasciata,Predation,,0,,,,0,2,,1,,,,,,,,,2025-01-01T00:00:00Z,,included_species,
Brachylophus gau,Brachylophus gau,152294669,152294642,Oceanian,Terrestrial,2019-06-05 00:00:00 UTC,Endangered,3.1,Decreasing,NA,Predation,,0,,,,1,,,,,,,,,,,,2025-06-01T00:00:00Z,,included_species,
Brachylophus vitiensis,Brachylophus vitiensis,2791620,2965,Oceanian,Terrestrial,2012-06-22 00:00:00 UTC,Critically Endangered,3.1,Decreasing,NA,Predation,,0,,,2,0,3,,1,,,,,,,,,2025-01-01T00:00:00Z,,included_species,Reptiles
Branta sandvicensis,Branta sandvicensis,194369606,22679929,Oceanian,Terrestrial,2021-01-14 00:00:00 UTC,Near Threatened,3.1,Increasing,Anser sandvicensis,Predation,,2,2,,,2,3,,2,,,,,,,,,2025-07-01T00:00:00Z,2044.12,included_species,Birds
Bulweria fallax,Bulweria fallax,132628433,22698136,Afrotropical|Palearctic,Terrestrial|Marine,2018-08-07 00:00:00 UTC,Near Threatened,3.1,Unknown,NA,Predation,,0,,,,1,,,,,,,,,,,,2025-05-01T00:00:00Z,173,included_species,Birds
Burramys parvus,Burramys parvus,9775825,3339,Australasian,Terrestrial,2008-06-30 00:00:00 UTC,Critically Endangered,3.1,Decreasing,NA,Predation,,0,12,1,,0,3,0,,2,,,,,,,,2025-01-01T00:00:00Z,41.5,included_species,Mammals
Cabalus modestus,Cabalus modestus,228867194,22728873,Australasian,Terrestrial,2023-02-24 00:00:00 UTC,Extinct,3.1,,"Gallirallus modestus modestus, Rallus modestus",Predation,,0,,,,1,2,,1,,,,,,,0,,2025-05-01T00:00:00Z,,included_species,
Caledoniscincus aquilonius,Caledoniscincus aquilonius,123255378,176183,Australasian,Terrestrial,2017-12-11 00:00:00 UTC,Near Threatened,3.1,Unknown,NA,Predation,,0,,,1,2,,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,Reptiles
Caledoniscincus auratus,Caledoniscincus auratus,123255218,176182,Australasian,Terrestrial,2017-12-11 00:00:00 UTC,Endangered,3.1,Decreasing,NA,Predation,,0,,,1,2,1,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,Reptiles
Caledoniscincus chazeaui,Caledoniscincus chazeaui,123258617,176207,Australasian,Terrestrial,2017-12-11 00:00:00 UTC,Endangered,3.1,Decreasing,NA,Predation,,0,,,,1,1,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,
Caledoniscincus constellatus,Caledoniscincus constellatus,123469174,122893519,Australasian,Terrestrial,2017-12-11 00:00:00 UTC,Critically Endangered,3.1,Decreasing,NA,Predation,,0,,,,1,,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,
Caledoniscincus orestes,Caledoniscincus orestes,123251144,176152,Australasian,Terrestrial,2017-12-11 00:00:00 UTC,Vulnerable,3.1,Decreasing,NA,Predation,,0,,,1,1,1,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,Reptiles
Caledoniscincus pelletieri,Caledoniscincus pelletieri,123469184,122894031,Australasian,Terrestrial,2017-12-11 00:00:00 UTC,Endangered,3.1,Decreasing,NA,Predation,,0,,,,1,,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,
Caledoniscincus renevieri,Caledoniscincus renevieri,123254740,176179,Australasian,Terrestrial,2017-12-11 00:00:00 UTC,Endangered,3.1,Decreasing,NA,Predation,,0,,,,2,1,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,
Caloenas nicobarica,Caloenas nicobarica,178136167,22690974,Indomalayan|Oceanian,Terrestrial,2020-06-26 00:00:00 UTC,Near Threatened,3.1,Decreasing,NA,Predation,,0,,,,0,,,,,,,,,,,,2025-06-01T00:00:00Z,537.86,included_species,Birds
Calonectris edwardsii,Calonectris edwardsii,132660464,22729421,Afrotropical,Terrestrial|Marine,2018-08-07 00:00:00 UTC,Near Threatened,3.1,Decreasing,NA,Predation,,2,,,,1,,,,,,,,,,,,2025-06-01T00:00:00Z,534.99,included_species,Birds
Calonectris leucomelas,Calonectris leucomelas,132630766,22698172,Indomalayan|Nearctic|Oceanian|Palearctic,Terrestrial|Marine,2018-08-07 00:00:00 UTC,Near Threatened,3.1,Decreasing,NA,Predation,,2,,,,0,,,,,,,,,,,,2025-05-01T00:00:00Z,579.99,included_species,Birds
Caloprymnus campestris,Caloprymnus campestris,21961545,3626,Australasian,Terrestrial,2012-12-31 00:00:00 UTC,Extinct,3.1,,NA,Predation,,1,,0,,0,1,Cats not mentioned,,1,,,,,,,,2025-01-01T00:00:00Z,900,included_species,Mammals
Calyptophilus tertius,Calyptophilus tertius,190919306,22729082,Neotropical,Terrestrial,2020-11-25 00:00:00 UTC,Vulnerable,3.1,Decreasing,NA,Predation,,1,,,,1,,,,,,,,,,,,2025-07-01T00:00:00Z,49.2,included_species,Birds
Caribicus anelpistus,Caribicus anelpistus,116419247,39258,Neotropical,Terrestrial,2015-07-20 00:00:00 UTC,Critically Endangered,3.1,Unknown,"Celestus anelpistus, Diploglossus anelpistus",Predation,,0,,,,0,,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,
Caribicus warreni,Caribicus warreni,115172613,39260,Neotropical,Terrestrial,2015-07-21 00:00:00 UTC,Vulnerable,3.1,Decreasing,"Celestus carraui, Celestus warreni, Diploglossus carraui Inchaústegui, Diploglossus warreni",Predation,,0,,,,0,1,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,
Carpodacus ferreorostris,Carpodacus ferreorostris,228156835,22720622,Palearctic,Terrestrial,2023-02-16 00:00:00 UTC,Extinct,3.1,,Chaunoproctus ferreorostris,Predation,,0,,,,2,,,,,,,,,,0,,2025-07-01T00:00:00Z,,included_species,
Casarea dussumieri,Casarea dussumieri,152276140,3989,Afrotropical,Terrestrial,2018-04-24 00:00:00 UTC,Vulnerable,3.1,Increasing,"Boa dussumieri, Casarea dussumieri, Leptoboa dussumieri",Predation,,0,,,,0,,,,,,,,,,,,2025-06-01T00:00:00Z,,included_species,
Celatiscincus euryotis,Celatiscincus euryotis,123249918,176143,Australasian,Terrestrial,2017-12-11 00:00:00 UTC,Endangered,3.1,Decreasing,"Leiolopisma euryotis, Lygosoma euryotis, Marmorosphax euryotis",Predation,,0,,,,1,,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,
Celatiscincus similis,Celatiscincus similis,123254893,176180,Australasian,Terrestrial,2017-12-11 00:00:00 UTC,Endangered,3.1,Decreasing,NA,Predation,,0,,,1,1,1,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,Reptiles
Celestus duquesneyi,Celestus duquesneyi,71739426,4094,Neotropical,Terrestrial,2015-07-20 00:00:00 UTC,Critically Endangered,3.1,Decreasing,NA,Predation,,0,,,,1,,,,,,,,,,,,2025-03-01T00:00:00Z,,included_species,
Celestus hewardi,Celestus hewardi,2758749,203031,Neotropical,Terrestrial,2015-07-20 00:00:00 UTC,Endangered,3.1,Decreasing,NA,Predation,,0,,,,1,,,,,,,,,,,,2025-01-01T00:00:00Z,,included_species,
Celestus microblepharis,Celestus microblepharis,115067750,4096,Neotropical,Terrestrial,2015-07-21 00:00:00 UTC,Critically Endangered,3.1,Decreasing,Diploglossus microblepharis,Predation,,0,,,,1,,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,
Celestus molesworthi,Celestus molesworthi,115481457,75166713,Neotropical,Terrestrial,2015-07-21 00:00:00 UTC,Endangered,3.1,Decreasing,Celestus crusculus molesworthi,Predation,,0,,,,1,,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,
Chaeropus ecaudatus,Chaeropus ecaudatus,21965168,4322,Australasian,Terrestrial,2012-12-31 00:00:00 UTC,Extinct,3.1,,NA,Predation,,0,,0,,2,1,0,,2,,,,,,,,2025-01-01T00:00:00Z,200,included_species,Mammals
Chalinolobus neocaledonicus,Chalinolobus neocaledonicus,21984825,4420,Australasian,Terrestrial,2019-07-04 00:00:00 UTC,Endangered,3.1,Decreasing,NA,Predation,,0,,,,1,,,,,,,,,,,,2025-01-01T00:00:00Z,11.9,included_species,Mammals
Chalinolobus picatus,Chalinolobus picatus,21984147,4422,Australasian,Terrestrial,2019-07-29 00:00:00 UTC,Near Threatened,3.1,Decreasing,NA,Predation,,0,,,,0,,,,,,,,,,,,2025-01-01T00:00:00Z,5.1,included_species,Mammals
Chalinolobus tuberculatus,Chalinolobus tuberculatus,21985132,4425,Australasian,Terrestrial,2020-10-15 00:00:00 UTC,Critically Endangered,3.1,Decreasing,NA,Predation,,1,1,,,3,2,,,,,,,0,1,,,2025-01-01T00:00:00Z,8.5,included_species,Mammals
Charadrius bicinctus,Charadrius bicinctus,180230226,22693845,Oceanian,Terrestrial|Freshwater (=Inland waters)|Marine,2020-07-30 00:00:00 UTC,Near Threatened,3.1,Decreasing,NA,Predation,,2,,,1,2,,,,,,,,,,,,2025-07-01T00:00:00Z,59.4,included_species,Birds
Charadrius obscurus,Charadrius obscurus,126893184,62290750,Oceanian,Terrestrial|Freshwater (=Inland waters)|Marine,2017-10-01 00:00:00 UTC,Critically Endangered,3.1,Decreasing,NA,Predation,,1,,,,3,4,,3,,,,,,,,,2025-04-01T00:00:00Z,146,included_species,Birds
Charadrius sanctaehelenae,Charadrius sanctaehelenae,179182366,22693785,Afrotropical,Terrestrial,2020-07-13 00:00:00 UTC,Vulnerable,3.1,Increasing,NA,Predation,,2,,,,4,3,,1,,,,,,,,,2025-07-01T00:00:00Z,48.7,included_species,Birds
Charadrius thoracicus,Charadrius thoracicus,231072418,22693780,Afrotropical,Terrestrial|Marine,2023-05-15 00:00:00 UTC,Vulnerable,3.1,Decreasing,NA,Predation,,0,,,,1,,,,,,,,,,,,2025-07-01T00:00:00Z,11.5,included_species,Birds
Charmosyna amabilis,Charmosyna amabilis,129622366,22684693,Oceanian,Terrestrial,2016-10-01 00:00:00 UTC,Critically Endangered,3.1,Decreasing,NA,Predation,,0,,,,2,,,,,,,,,,,,2025-04-01T00:00:00Z,8.54,included_species,Birds
Chasiempis ibidis,Chasiempis ibidis,224391681,22736423,Oceanian,Terrestrial,2023-07-20 00:00:00 UTC,Vulnerable,3.1,Decreasing,Chasiempis sandwichensis,Predation,,0,,,,0,,,,,,,,,,,,2025-07-01T00:00:00Z,13.1,included_species,Birds
Chasiempis sandwichensis,Chasiempis sandwichensis,224140553,22736440,Oceanian,Terrestrial,2023-07-20 00:00:00 UTC,Near Threatened,3.1,Decreasing,NA,Predation,,0,,,,2,,,2,,,,,,,,,2025-07-01T00:00:00Z,13.69,included_species,Birds
Chasiempis sclateri,Chasiempis sclateri,224210872,22736432,Oceanian,Terrestrial,2023-07-20 00:00:00 UTC,Near Threatened,3.1,Decreasing,Chasiempis sandwichensis,Predation,,0,,,,0,1,,,,,,,,,,,2025-07-01T00:00:00Z,12.9,included_species,Birds
Chelonoidis becki,Chelonoidis becki,82426296,9018,Neotropical,Terrestrial,2015-08-13 00:00:00 UTC,Vulnerable,3.1,Unknown,"Chelonoidis becki, Chelonoidis nigra becki, Geochelone becki, Geochelone elephantopus becki, Geochelone nigra becki, Testudo becki",Predation,,0,,,,0,,,,,,,,,,,,2025-03-01T00:00:00Z,,included_species,
Chelonoidis chathamensis,Chelonoidis chathamensis,82688009,9019,Neotropical,Terrestrial,2017-01-15 00:00:00 UTC,Endangered,3.1,Increasing,"Chelonoidis nigra chathamensis, Geochelone elephantopus chathamensis, Geochelone nigra chathamensis, Testudo chathamensis",Predation,,0,,,,0,,,,,,,,,,,,2025-03-01T00:00:00Z,,included_species,
Chelonoidis donfaustoi,Chelonoidis donfaustoi,90377135,90377132,Neotropical,Terrestrial,2016-03-26 00:00:00 UTC,Critically Endangered,3.1,Increasing,NA,Predation,,0,,,,0,,,,,,,,,,,,2025-03-01T00:00:00Z,,included_species,
Chelonoidis guntheri,Chelonoidis guntheri,116505802,9022,Neotropical,Terrestrial,2015-08-15 00:00:00 UTC,Critically Endangered,3.1,Unknown,"Chelonoidis guntheri, Chelonoidis nigra guentheri, Chelonoidis nigra wallacei, Chelonoidis vicina guntheri, Chelonoidis vicina guentheri,Geochelone nigra guntheri, Geochelone nigra guentheri, Geochelone nigra wallacei, Testudo guntheri, Testudo wallacei",Predation,,0,,,,0,,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,
Chelonoidis microphyes,Chelonoidis microphyes,116506297,9025,Neotropical,Terrestrial,2015-08-15 00:00:00 UTC,Endangered,3.1,Unknown,"Chelonoidis nigra microphyes, Chelonoidis vicina microphyes, Geochelone nigra microphyes, Testudo macrophyes, Testudo microphyes",Predation,,0,,,,0,,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,
Chelonoidis niger,Chelonoidis niger,3149101,9023,Neotropical,Terrestrial,2017-01-25 00:00:00 UTC,Extinct,3.1,,"Chelonoidis nigra nigra, Geochelone elephantopus galapagoensis, Geochelone elephantopus nigra, Geochelone nigra galapagoensis, Geochelone nigra nigra, Testudo californiana, Testudo galapagoensis, Testudo nigra",Predation,,1,,,,0,2,,,,,,,,,,,2025-01-01T00:00:00Z,80,included_species,Reptiles
Chelonoidis porteri,Chelonoidis porteri,82777132,9026,Neotropical,Terrestrial,2016-03-26 00:00:00 UTC,Critically Endangered,3.1,Increasing,"Chelonoidis nigra nigrita, Chelonoidis nigra porteri, Chelonoidis porteri, Geochelone elephantopus nigrita, Geochelone elephantopus porteri, Geochelone nigra porteri, Geochelone nigra nigrita, Testudo nigrita, Testudo porteri",Predation,,0,,,,0,,,,,,,,,,,,2025-03-01T00:00:00Z,,included_species,
Chelonoidis vicina,Chelonoidis vicina,144765855,9028,Neotropical,Terrestrial,2015-08-15 00:00:00 UTC,Endangered,3.1,Unknown,"Chelonoidis nigra vicina, Chelonoidis vicina vicina, Geochelone elephantopus vicina, Geochelone nigra vicina",Predation,,0,,,,0,,,,,,,,,,,,2025-06-01T00:00:00Z,,included_species,
Chilabothrus chrysogaster,Chilabothrus chrysogaster,15154888,15154880,Neotropical,Terrestrial,2015-07-22 00:00:00 UTC,Near Threatened,3.1,Decreasing,"Epicrates chrysogaster, Homalochilus chrysogaster",Predation,,0,,,,1,,,,,,,,,,,,2025-01-01T00:00:00Z,,included_species,Reptiles
Chilabothrus exsul,Chilabothrus exsul,15155082,15155078,Neotropical,Terrestrial,2015-07-22 00:00:00 UTC,Vulnerable,3.1,Decreasing,Epicrates exsul,Predation,,0,,,,0,,,,,,,,,,,,2025-01-01T00:00:00Z,,included_species,
Chilabothrus granti,Chilabothrus granti,18979910,7829,Neotropical,Terrestrial,2015-07-22 00:00:00 UTC,Endangered,3.1,Decreasing,"Chilabothrus monensis granti, Epicrates monensis granti",Predation,,0,,,,1,,,,,,,,,,,,2025-01-01T00:00:00Z,,included_species,
Chilabothrus monensis,Chilabothrus monensis,18979328,7823,Neotropical,Terrestrial,2015-07-22 00:00:00 UTC,Near Threatened,3.1,Stable,"Chilabothrus monensis monensis, Epicrates gracilis monensis, Epicrates monensis monensis",Predation,,0,1,,,3,2,,,,,,,,,,,2025-01-01T00:00:00Z,,included_species,
Chilabothrus subflavus,Chilabothrus subflavus,18979286,7826,Neotropical,Terrestrial,2015-07-21 00:00:00 UTC,Vulnerable,3.1,Decreasing,Epicrates subflavus,Predation,,0,,,,1,1,,,,,,,,,,,2025-01-01T00:00:00Z,,included_species,Reptiles
Chioninia coctei,Chioninia coctei,217783334,13152363,Afrotropical,Terrestrial,2012-09-17 00:00:00 UTC,Extinct,3.1,,"Charactodon coctei, Euprepes coctei, Gongylus coctei, Macroscincus coctaei, Macroscincus coctei","Predation, competition",,0,,,,1,2,,,,,,,,,,,2025-07-01T00:00:00Z,,included_species,
Chioninia stangeri,Chioninia stangeri,13152438,13152431,Afrotropical,Terrestrial,2012-09-17 00:00:00 UTC,Near Threatened,3.1,Unknown,"Euprepes hopfferi, Euprepes polylepis, Euprepis stangeri",Predation,,0,,,,1,,,,,,,,,,,,2025-01-01T00:00:00Z,,included_species,
Chlidonias albostriatus,Chlidonias albostriatus,131931677,22694750,Australasian,Terrestrial|Freshwater (=Inland waters)|Marine,2022-07-25 00:00:00 UTC,Endangered,3.1,Decreasing,Hydrochelidon albostriata,Predation,,3,,,,4,5,,,,,,,,,,,2025-04-01T00:00:00Z,94.69,included_species,Birds
Chlorodrepanis stejnegeri,Chlorodrepanis stejnegeri,223174818,22720756,Oceanian,Terrestrial,2023-07-20 00:00:00 UTC,Endangered,3.1,Decreasing,"Hemignathus kauaiensis, Viridonia stejnegeri",Predation,,0,,,,5,,,,,,,,,,,,2025-07-01T00:00:00Z,16.64,included_species,Birds
Cinclodes antarcticus,Cinclodes antarcticus,93860479,103670928,Neotropical,Terrestrial|Marine,2016-10-01 00:00:00 UTC,Near Threatened,3.1,Decreasing,NA,Predation,,0,,,,1,,,,,,,,,,,,2025-03-01T00:00:00Z,63.2,included_species,Birds
Cinclodes maculirostris,Cinclodes maculirostris,192074027,103670944,Neotropical,Terrestrial|Marine,2020-12-07 00:00:00 UTC,Near Threatened,3.1,Decreasing,NA,Predation,,0,,,,1,,,,,,,,,,,,2025-07-01T00:00:00Z,63.2,included_species,Birds
Cincloramphus llaneae,Cincloramphus llaneae,152667776,22715535,Oceanian,Terrestrial,2019-06-13 00:00:00 UTC,Near Threatened,3.1,Decreasing,"Cichlornis llaneae llaneae, Megalurulus llaneae",Predation,,0,,,,0,,,,,,,,,,,,2025-06-01T00:00:00Z,,included_species,
Cincloramphus turipavae,Cincloramphus turipavae,208344323,103798488,Australasian,Terrestrial,2021-09-29 00:00:00 UTC,Near Threatened,3.1,Decreasing,Megalurulus turipavae,Predation,,0,,,,1,,,,,,,,,,,,2025-07-01T00:00:00Z,,included_species,
Cnemaspis anslemi,Cnemaspis anslemi,158782483,158782388,Indomalayan,Terrestrial,2019-09-16 00:00:00 UTC,Vulnerable,3.1,Unknown,NA,Predation,,0,,,,0,,,,,,,,,,,,2025-06-01T00:00:00Z,,included_species,
Cnemaspis latha,Cnemaspis latha,123312187,197235,Indomalayan,Terrestrial,2019-09-16 00:00:00 UTC,Critically Endangered,3.1,Unknown,NA,Predation,,0,,,,0,,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,
Cnemaspis nilgala,Cnemaspis nilgala,149323785,149323623,Indomalayan,Terrestrial,2019-07-16 00:00:00 UTC,Critically Endangered,3.1,Unknown,NA,Predation,,0,,,,0,,,,,,,,,,,,2025-06-01T00:00:00Z,,included_species,
Cnemaspis rammalensis,Cnemaspis rammalensis,127938924,127938795,Indomalayan,Terrestrial,2019-09-16 00:00:00 UTC,Critically Endangered,3.1,Unknown,NA,Predation,,0,,,,0,,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,
Cnemaspis thachanaensis,Cnemaspis thachanaensis,112239688,112239651,Indomalayan,Terrestrial,2017-05-23 00:00:00 UTC,Near Threatened,3.1,Unknown,NA,Predation,,0,,,,1,,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,Reptiles
Cnemidophorus flavissimus,Cnemidophorus flavissimus,50011770,50011766,Neotropical,Terrestrial,2014-11-26 00:00:00 UTC,Near Threatened,3.1,Unknown,NA,Predation,,0,,,,0,,,,,,,,,,,,2025-03-01T00:00:00Z,,included_species,
Cnemidophorus rostralis,Cnemidophorus rostralis,50012116,50012113,Neotropical,Terrestrial,2014-11-26 00:00:00 UTC,Near Threatened,3.1,Stable,NA,Predation,,0,,,,1,,,,,,,,,,,,2025-03-01T00:00:00Z,,included_species,
Coccyzus bahamensis,Coccyzus bahamensis,178654750,22728160,Neotropical,Terrestrial,2020-08-27 00:00:00 UTC,Near Threatened,3.1,Unknown,NA,Predation,,0,,,,0,,,,,,,,,,,,2025-06-01T00:00:00Z,169.59,included_species,Birds
Coccyzus ferrugineus,Coccyzus ferrugineus,178653886,22684340,Neotropical,Terrestrial,2020-08-27 00:00:00 UTC,Vulnerable,3.1,Stable,NA,Predation,,1,,,,0,1,,,,,,,,,,,2025-06-01T00:00:00Z,70,included_species,Birds
Coenocorypha aucklandica,Coenocorypha aucklandica,182916100,22727499,Australasian,Terrestrial,2022-02-17 00:00:00 UTC,Near Threatened,3.1,Stable,"Coenocorypha huegeli, Coenocorypha barrierensis, Coenocorypha iredalei",Predation,,1,2,,,2,,,1,,,,,,,,,2025-06-01T00:00:00Z,108.24,included_species,Birds
Coenocorypha barrierensis,Coenocorypha barrierensis,246199261,62178398,Oceanian,Terrestrial,2023-09-30 00:00:00 UTC,Extinct,3.1,,Coenocorypha aucklandica barrierensis,Predation,,1,4,,,1,1,,3,,,,,,,1,,2025-06-01T00:00:00Z,,included_species,Birds
Coenocorypha iredalei,Coenocorypha iredalei,209950103,22727515,Oceanian,Terrestrial,2023-09-30 00:00:00 UTC,Extinct,3.1,,NA,Predation,,0,,,,1,1,,,,,,,,,Not attributed,,2025-05-01T00:00:00Z,,included_species,
Coenocorypha pusilla,Coenocorypha pusilla,182890601,22693137,Australasian,Terrestrial,2022-04-11 00:00:00 UTC,Vulnerable,3.1,Stable,Coenocorypha aucklandica,Predation,,0,1,,,2,2,,2,,,,,,,,,2025-06-01T00:00:00Z,80.5,included_species,Birds
Colaptes fernandinae,Colaptes fernandinae,179186511,22681293,Neotropical,Terrestrial|Freshwater (=Inland waters),2021-07-02 00:00:00 UTC,Endangered,3.1,Decreasing,NA,Predation,,0,,,,1,,,,,,,,,,,,2025-07-01T00:00:00Z,135,included_species,Birds
Coleura seychellensis,Coleura seychellensis,22089794,5112,Afrotropical,Terrestrial,2016-04-24 00:00:00 UTC,Critically Endangered,3.1,Decreasing,NA,Predation,,0,,,,0,2,,,,,,,0,Not attributed,,,2025-01-01T00:00:00Z,10.6,included_species,Mammals
Columba jouyi,Columba jouyi,228150824,22690222,Palearctic,Terrestrial,2023-02-16 00:00:00 UTC,Extinct,3.1,,NA,Predation,,0,,,,1,,,,,,,,,,Not attributed,,2025-05-01T00:00:00Z,,included_species,
Columba junoniae,Columba junoniae,111025271,22690122,Palearctic,Terrestrial,2016-10-01 00:00:00 UTC,Near Threatened,3.1,Increasing,NA,Predation,,0,,,,3,,,,,,,,,,,,2025-04-01T00:00:00Z,440,included_species,Birds
Columba versicolor,Columba versicolor,228153391,22690218,Palearctic,Terrestrial,2023-02-16 00:00:00 UTC,Extinct,3.1,,NA,Predation,,0,,,,1,1,,,,,,,,,Not attributed,,2025-05-01T00:00:00Z,,included_species,
Conilurus albipes,Conilurus albipes,22450334,5223,Australasian,Terrestrial,2015-06-04 00:00:00 UTC,Extinct,3.1,,Hapalotis albipes,Predation,,0,,0,,0,1,0,,5,,,,,,,,2025-02-01T00:00:00Z,200,included_species,Mammals
Conilurus capricornensis,Conilurus capricornensis,75927844,75927841,Australasian,Terrestrial,2015-05-27 00:00:00 UTC,Extinct,3.1,,NA,Predation,,0,,0,,0,,Cats not mentioned,,Not attributed,,,,,,,,2025-03-01T00:00:00Z,194.7,included_species,Mammals
Conilurus penicillatus,Conilurus penicillatus,22450418,5224,Australasian,Terrestrial,2015-07-18 00:00:00 UTC,Vulnerable,3.1,Decreasing,NA,Predation,,4,,6,,0,,Cats not mentioned,,0,,,,,,,,2025-02-01T00:00:00Z,153.5,included_species,Mammals
