cited_by_id,article_id,edge_type,scientificName,encounter_method
(Campolina et al. 2024) core source_claim,(Bonnaud et al. 2010b)_INCLUDE_NA_Population in support_yes_no,citation,Puffinus yelkouan,core_sources
(Campolina et al. 2024) core source_claim,(Bonnaud et al. 2009)_INCLUDE_NA_Predation in support_no_no,citation,Puffinus yelkouan,core_sources
(Campolina et al. 2024) core source_claim,(Rayner et al. 2007)_INCLUDE_NA_Population not in support_yes_no,citation,Pterodroma cookii,core_sources
(Campolina et al. 2024) core source_claim,(McChesney & Tershy 1998)_INCLUDE_NA_Predation in support_no_no,citation,Puffinus opisthomelas,core_sources
(Campolina et al. 2024) core source_claim,(McChesney & Tershy 1998)_INCLUDE_NA_Predation in support_no_no,citation,Synthliboramphus hypoleucus,core_sources
(Campolina et al. 2024) core source_claim,(Newton & Fugler 1989)_EXCLUDE_0_Opinion claim_NA_NA,citation,Procellaria cinerea,core_sources
(Campolina et al. 2024) core source_claim,(Oka 2019)_EXCLUDE_1_Inaccessible_NA_NA,citation,Calonectris leucomelas,core_sources
(Campolina et al. 2024) core source_claim,(Oka et al. 2002)_INCLUDE_NA_Predation in support_no_no,citation,Calonectris leucomelas,core_sources
(Campolina et al. 2024) core source_claim,(Raine et al. 2020)_INCLUDE_NA_Predation in support_no_no,citation,Pterodroma sandwichensis,core_sources
(Campolina et al. 2024) core source_claim,(Raine et al. 2020)_INCLUDE_NA_Predation in support_no_no,citation,Puffinus newelli,core_sources
(Campolina et al. 2024) core source_claim,(Shiozaki et al. 2014)_INCLUDE_NA_Predation in support_no_no,citation,Calonectris leucomelas,core_sources
(Campolina et al. 2024) core source_claim,(Sanders & Maloney 2002)_INCLUDE_NA_Predation in support_no_no,citation,Charadrius bicinctus,core_sources
(Campolina et al. 2024) core source_claim,(Sanders & Maloney 2002)_INCLUDE_NA_Predation in support_no_no,citation,Chlidonias albostriatus,core_sources
(Campolina et al. 2024) core source_claim,(Sanders & Maloney 2002)_INCLUDE_NA_Predation in support_no_no,citation,Himantopus novaezelandiae,core_sources
(Campolina et al. 2024) core source_claim,(Van Rensburg 1985)_INCLUDE_NA_Predation in support_no_no,citation,Procellaria aequinoctialis,core_sources
(Castellanos & Rodriguez-Estrella 1993)_EXCLUDE_?_Opinion claim_NA_NA,(Jehl & Parkes 1983)_EXCLUDE_?_Opinion claim_NA_NA,citation,Mimus graysoni,snowball
(Castellanos & Rodriguez-Estrella 1993)_EXCLUDE_?_Opinion claim_NA_NA,(Jehl & Parkes 1982)_EXCLUDE_?_No claim_NA_NA,citation,Mimus graysoni,snowball
(Castro-Prieto et al. 2021)_EXCLUDE_0_Opinion claim_NA_NA,(Oberle 2018)_EXCLUDE_0_Inaccessible_NA_NA,citation,Antrostomus noctitherus,snowball
