node_id,article_node_name,evidence_inclusion,Peer_reviewed_source,evidence_type,has_data,of_quality,evidence_type_synthetic,evidence_type_fine,evidence_type_simple,in_support
NOTHING_EXCLUDE_NA_No citation given_NA_NA Cornufer vitianus,NOTHING NA Cornufer vitianus,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Crocidura trichura,NOTHING NA Crocidura trichura,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Cryptoblepharus caudatus,NOTHING NA Cryptoblepharus caudatus,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Ctenosaura bakeri,NOTHING NA Ctenosaura bakeri,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Ctenosaura flavidorsalis,NOTHING NA Ctenosaura flavidorsalis,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Ctenosaura melanosterna,NOTHING NA Ctenosaura melanosterna,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Ctenosaura oedirhina,NOTHING NA Ctenosaura oedirhina,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Cyclodomorphus praealtus,NOTHING NA Cyclodomorphus praealtus,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Cyclura cychlura,NOTHING NA Cyclura cychlura,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Cyrtodactylus sadleiri,NOTHING NA Cyrtodactylus sadleiri,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Cyrtodactylus soba,NOTHING NA Cyrtodactylus soba,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Cyrtodactylus thirakhupti,NOTHING NA Cyrtodactylus thirakhupti,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Cyrtodactylus yakhuna,NOTHING NA Cyrtodactylus yakhuna,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Dasia haliana,NOTHING NA Dasia haliana,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Dasyurus geoffroii,NOTHING NA Dasyurus geoffroii,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Diomedea dabbenena,NOTHING NA Diomedea dabbenena,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Diomedea sanfordi,NOTHING NA Diomedea sanfordi,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Diplothrix legata,NOTHING NA Diplothrix legata,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Dipodomys stephensi,NOTHING NA Dipodomys stephensi,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Diporiphora vescus,NOTHING NA Diporiphora vescus,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Eleutherodactylus barlagnei,NOTHING NA Eleutherodactylus barlagnei,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Eleutherodactylus cavernicola,NOTHING NA Eleutherodactylus cavernicola,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Eleutherodactylus pinchoni,NOTHING NA Eleutherodactylus pinchoni,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Emberiza socotrana,NOTHING NA Emberiza socotrana,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Emoia lawesi,NOTHING NA Emoia lawesi,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Emoia samoensis,NOTHING NA Emoia samoensis,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Erythrolamprus juliae,NOTHING NA Erythrolamprus juliae,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Erythrolamprus perfuscus,NOTHING NA Erythrolamprus perfuscus,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Euleptes europaea,NOTHING NA Euleptes europaea,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Eupleres major,NOTHING NA Eupleres major,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Eupsittula nana,NOTHING NA Eupsittula nana,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Eurostopodus exul,NOTHING NA Eurostopodus exul,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Falsistrellus tasmaniensis,NOTHING NA Falsistrellus tasmaniensis,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Flexiseps valhallae,NOTHING NA Flexiseps valhallae,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Foudia aldabrana,NOTHING NA Foudia aldabrana,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Foudia flavicans,NOTHING NA Foudia flavicans,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Fregata aquila,NOTHING NA Fregata aquila,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Fregetta maoriana,NOTHING NA Fregetta maoriana,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Galemys pyrenaicus,NOTHING NA Galemys pyrenaicus,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Gallirallus lafresnayanus,NOTHING NA Gallirallus lafresnayanus,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Gallotia bravoana,NOTHING NA Gallotia bravoana,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Galvarinus chilensis,NOTHING NA Galvarinus chilensis,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Gastrotheca lojana,NOTHING NA Gastrotheca lojana,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Geocapromys thoracatus,NOTHING NA Geocapromys thoracatus,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Geospiza heliobates,NOTHING NA Geospiza heliobates,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Geospiza pauper,NOTHING NA Geospiza pauper,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Gonatodes naufragus,NOTHING NA Gonatodes naufragus,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Goniurosaurus kuroiwae,NOTHING NA Goniurosaurus kuroiwae,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Haematopus chathamensis,NOTHING NA Haematopus chathamensis,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Haitiophis anomalus,NOTHING NA Haitiophis anomalus,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Hemidactylus bouvieri,NOTHING NA Hemidactylus bouvieri,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Hemiphaga chathamensis,NOTHING NA Hemiphaga chathamensis,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Henicophaps foersteri,NOTHING NA Henicophaps foersteri,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Hipposideros demissus,NOTHING NA Hipposideros demissus,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Hipposideros dinops,NOTHING NA Hipposideros dinops,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Holcosus orcesi,NOTHING NA Holcosus orcesi,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Horornis haddeni,NOTHING NA Horornis haddeni,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Hydrobates leucorhous,NOTHING NA Hydrobates leucorhous,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Hydrobates macrodactylus,NOTHING NA Hydrobates macrodactylus,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Hymenolaimus malacorhynchos,NOTHING NA Hymenolaimus malacorhynchos,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Hypogeomys antimena,NOTHING NA Hypogeomys antimena,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Hypotaenidia okinawae,NOTHING NA Hypotaenidia okinawae,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Hypotaenidia sylvestris,NOTHING NA Hypotaenidia sylvestris,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Icterus northropi,NOTHING NA Icterus northropi,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Junco insularis,NOTHING NA Junco insularis,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Kanakysaurus viviparus,NOTHING NA Kanakysaurus viviparus,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Lagorchestes asomatus,NOTHING NA Lagorchestes asomatus,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Lalage newtoni,NOTHING NA Lalage newtoni,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Larosterna inca,NOTHING NA Larosterna inca,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Larvivora tanensis,NOTHING NA Larvivora tanensis,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Laterallus spilonota,NOTHING NA Laterallus spilonota,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Leiocephalus varius,NOTHING NA Leiocephalus varius,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Leiolopisma alazon,NOTHING NA Leiolopisma alazon,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Leporillus apicalis,NOTHING NA Leporillus apicalis,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Leptotila wellsi,NOTHING NA Leptotila wellsi,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Leucocarbo campbelli,NOTHING NA Leucocarbo campbelli,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Leucocarbo onslowi,NOTHING NA Leucocarbo onslowi,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Lewinia muelleri,NOTHING NA Lewinia muelleri,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Liolaemus martorii,NOTHING NA Liolaemus martorii,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Litoria littlejohni,NOTHING NA Litoria littlejohni,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Litoria raniformis,NOTHING NA Litoria raniformis,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Lyriocephalus scutatus,NOTHING NA Lyriocephalus scutatus,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Mabuya montserratae,NOTHING NA Mabuya montserratae,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Marmorosphax kaala,NOTHING NA Marmorosphax kaala,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Megadyptes antipodes,NOTHING NA Megadyptes antipodes,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Merulaxis stresemanni,NOTHING NA Merulaxis stresemanni,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Mesocapromys sanfelipensis,NOTHING NA Mesocapromys sanfelipensis,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Microlophus grayii,NOTHING NA Microlophus grayii,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Micrurus meridensis,NOTHING NA Micrurus meridensis,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Myotis vivesi,NOTHING NA Myotis vivesi,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Nactus durrellorum,NOTHING NA Nactus durrellorum,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Nannopterum harrisi,NOTHING NA Nannopterum harrisi,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Neotamias palmeri,NOTHING NA Neotamias palmeri,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Nesoenas mayeri,NOTHING NA Nesoenas mayeri,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Nesoryzomys darwini,NOTHING NA Nesoryzomys darwini,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Nesoryzomys indefessus,NOTHING NA Nesoryzomys indefessus,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Nestor notabilis,NOTHING NA Nestor notabilis,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Notomys amplus,NOTHING NA Notomys amplus,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Notomys cervinus,NOTHING NA Notomys cervinus,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Notomys longicaudatus,NOTHING NA Notomys longicaudatus,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Notomys macrotis,NOTHING NA Notomys macrotis,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Notomys robustus,NOTHING NA Notomys robustus,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Oligosoma burganae,NOTHING NA Oligosoma burganae,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Oligosoma lineoocellatum,NOTHING NA Oligosoma lineoocellatum,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Oligosoma salmo,NOTHING NA Oligosoma salmo,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Otus bikegila,NOTHING NA Otus bikegila,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Pampusana erythroptera,NOTHING NA Pampusana erythroptera,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Pampusana rubescens,NOTHING NA Pampusana rubescens,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Pampusana salamonis,NOTHING NA Pampusana salamonis,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Pampusana sanctaecrucis,NOTHING NA Pampusana sanctaecrucis,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Parantechinus apicalis,NOTHING NA Parantechinus apicalis,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Pareudiastes pacificus,NOTHING NA Pareudiastes pacificus,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Pelecanoides garnotii,NOTHING NA Pelecanoides garnotii,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Perochirus ateles,NOTHING NA Perochirus ateles,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Peromyscus caniceps,NOTHING NA Peromyscus caniceps,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Peromyscus madrensis,NOTHING NA Peromyscus madrensis,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Peromyscus pseudocrinitus,NOTHING NA Peromyscus pseudocrinitus,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Peromyscus sejugis,NOTHING NA Peromyscus sejugis,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Petrogale burbidgei,NOTHING NA Petrogale burbidgei,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Petrogale concinna,NOTHING NA Petrogale concinna,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Petrogale lateralis,NOTHING NA Petrogale lateralis,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Phalacrocorax featherstoni,NOTHING NA Phalacrocorax featherstoni,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Phascogale calura,NOTHING NA Phascogale calura,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Phascogale tapoatafa,NOTHING NA Phascogale tapoatafa,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Phasmasaurus maruia,NOTHING NA Phasmasaurus maruia,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Phasmasaurus tillieri,NOTHING NA Phasmasaurus tillieri,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Phelsuma guimbeaui,NOTHING NA Phelsuma guimbeaui,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Phelsuma rosagularis,NOTHING NA Phelsuma rosagularis,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Pholidoscelis griswoldi,NOTHING NA Pholidoscelis griswoldi,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Phyllodactylus darwini,NOTHING NA Phyllodactylus darwini,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Phyllodactylus leei,NOTHING NA Phyllodactylus leei,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Phyllodactylus pulcher,NOTHING NA Phyllodactylus pulcher,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Phyllodactylus rutteni,NOTHING NA Phyllodactylus rutteni,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Phyllomys thomasi,NOTHING NA Phyllomys thomasi,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Phyllonycteris aphylla,NOTHING NA Phyllonycteris aphylla,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Pitta superba,NOTHING NA Pitta superba,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Plestiodon barbouri,NOTHING NA Plestiodon barbouri,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Plestiodon kishinouyei,NOTHING NA Plestiodon kishinouyei,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Plestiodon longirostris,NOTHING NA Plestiodon longirostris,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Podarcis lilfordi,NOTHING NA Podarcis lilfordi,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
NOTHING_EXCLUDE_NA_No citation given_NA_NA Podarcis pityusensis,NOTHING NA Podarcis pityusensis,EXCLUDE,,No citation given,,no,Opinion claim,Opinion claim,Excluded,Not relevant
