key,article_id,cited_by_id,scientificName,distance_to_terminus,article_node_name,Peer_reviewed_source,in_support,evidence_type_synthetic,has_data,of_quality,source_year
Amazona vittata (IUCN 2025) core source_claim,R. M. Engeman in litt. 2012_EXCLUDE_0_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Amazona vittata,1,R. M. Engeman in litt. 2012,0,Not relevant,Inaccessible,"",no,2019
Amazona vittata (Medina et al. 2011) core source_claim,(Engeman et al. 2006)_EXCLUDE_1_Opinion claim_NA_NA,(Medina et al. 2011) core source_claim,Amazona vittata,1,(Engeman et al. 2006),"",Not relevant,Opinion claim,"",no,2009
Amazona vittata Web of Science_Systematic external review,(Engeman et al. 2006)_EXCLUDE_1_Opinion claim_NA_NA,Web of Science_Systematic external review,Amazona vittata,1,(Engeman et al. 2006),"",Not relevant,Opinion claim,"",no,2025
Amblyrhynchus cristatus (Doherty et al. 2016) core source_claim,(Konecny 1983)_EXCLUDE_0_No claim_NA_NA,(Doherty et al. 2016) core source_claim,Amblyrhynchus cristatus,3,(Konecny 1983),"",Not relevant,No claim,"",no,2014
Amblyrhynchus cristatus (Doherty et al. 2016) core source_claim,(Laurie 1983)_INCLUDE_NA_Predation in support_no_no,(Doherty et al. 2016) core source_claim,Amblyrhynchus cristatus,2,(Laurie 1983),"",Yes,Predation in support without data,no,no,2014
Amblyrhynchus cristatus (Doherty et al. 2016) core source_claim,(MacLeod & Steinfartz 2016)_INCLUDE_NA_Population in support_no_no,(Doherty et al. 2016) core source_claim,Amblyrhynchus cristatus,2,(MacLeod & Steinfartz 2016),"",Yes,Population in support without data,no,no,2014
Amblyrhynchus cristatus (IUCN 2025) core source_claim,(Konecny 1983)_EXCLUDE_0_No claim_NA_NA,(IUCN 2025) core source_claim,Amblyrhynchus cristatus,2,(Konecny 1983),"",Not relevant,No claim,"",no,2018
Amblyrhynchus cristatus (IUCN 2025) core source_claim,(Laurie 1983)_INCLUDE_NA_Predation in support_no_no,(IUCN 2025) core source_claim,Amblyrhynchus cristatus,1,(Laurie 1983),"",Yes,Predation in support without data,no,no,2018
Amblyrhynchus cristatus (IUCN 2025) core source_claim,(MacLeod & Steinfartz 2016)_INCLUDE_NA_Population in support_no_no,(IUCN 2025) core source_claim,Amblyrhynchus cristatus,1,(MacLeod & Steinfartz 2016),"",Yes,Population in support without data,no,no,2018
Amblyrhynchus cristatus (Medina et al. 2011) core source_claim,(Konecny 1983)_EXCLUDE_0_No claim_NA_NA,(Medina et al. 2011) core source_claim,Amblyrhynchus cristatus,1,(Konecny 1983),"",Not relevant,No claim,"",no,2009
Amblyrhynchus cristatus (Medina et al. 2011) core source_claim,(Laurie 1983)_INCLUDE_NA_Predation in support_no_no,(Medina et al. 2011) core source_claim,Amblyrhynchus cristatus,1,(Laurie 1983),"",Yes,Predation in support without data,no,no,2009
Amblyrhynchus cristatus Web of Science_Systematic external review,(MacLeod et al. 2020)_EXCLUDE_NA_Does not test claim_NA_NA,Web of Science_Systematic external review,Amblyrhynchus cristatus,1,(MacLeod et al. 2020),"",Not relevant,Does not test claim,"",no,2025
Ameiva provitaae (IUCN 2025) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Ameiva provitaae,(IUCN 2025) core source_claim,Ameiva provitaae,1,NOTHING NA Ameiva provitaae,"",Not relevant,No citation given,"",no,2013
