key,article_id,cited_by_id,scientificName,distance_to_terminus,article_node_name,Peer_reviewed_source,in_support,evidence_type_synthetic,has_data,of_quality,source_year
Megadyptes antipodes Web of Science_Systematic external review,(Mayston 2001)_EXCLUDE_0_Inaccessible_NA_NA,Web of Science_Systematic external review,Megadyptes antipodes,3,(Mayston 2001),0,Not relevant,Inaccessible,"",no,2025
Megadyptes antipodes Web of Science_Systematic external review,(Moller et al. 1995)_EXCLUDE_0_Inaccessible_NA_NA,Web of Science_Systematic external review,Megadyptes antipodes,2,(Moller et al. 1995),0,Not relevant,Inaccessible,"",no,2025
Megadyptes antipodes Web of Science_Systematic external review,(Moller et al. 1996)_EXCLUDE_?_Inaccessible_NA_NA,Web of Science_Systematic external review,Megadyptes antipodes,2,(Moller et al. 1996),?,Not relevant,Inaccessible,"",no,2025
Megadyptes antipodes Web of Science_Systematic external review,(ODT 2001)_EXCLUDE_0_Inaccessible_NA_NA,Web of Science_Systematic external review,Megadyptes antipodes,3,(ODT 2001),0,Not relevant,Inaccessible,"",no,2025
Megadyptes antipodes Web of Science_Systematic external review,(Ratz 1997)_EXCLUDE_0_Inaccessible_NA_NA,Web of Science_Systematic external review,Megadyptes antipodes,2,(Ratz 1997),0,Not relevant,Inaccessible,"",no,2025
Megadyptes antipodes Web of Science_Systematic external review,(Ratz et al. 1992)_EXCLUDE_0_Inaccessible_NA_NA,Web of Science_Systematic external review,Megadyptes antipodes,2,(Ratz et al. 1992),0,Not relevant,Inaccessible,"",no,2025
Megadyptes antipodes Web of Science_Systematic external review,(Ratz et al. 1999)_INCLUDE_NA_Predation not in support_no_no,Web of Science_Systematic external review,Megadyptes antipodes,2,(Ratz et al. 1999),"",No,Predation not in support without data,no,no,2025
Megadyptes antipodes Web of Science_Systematic external review,(Ratz et al. 2004)_EXCLUDE_1_Opinion claim_NA_NA,Web of Science_Systematic external review,Megadyptes antipodes,2,(Ratz et al. 2004),"",Not relevant,Opinion claim,"",no,2025
Megadyptes antipodes Web of Science_Systematic external review,(Schaefer & Colombelli‐Négrel 2021)_EXCLUDE_1_No claim_NA_NA,Web of Science_Systematic external review,Megadyptes antipodes,1,(Schaefer & Colombelli‐Négrel 2021),"",Not relevant,No claim,"",no,2025
Megapodius bernsteinii (Doherty et al. 2016) core source_claim,(BirdLife International 2001)_EXCLUDE_0_No claim_NA_NA,(Doherty et al. 2016) core source_claim,Megapodius bernsteinii,2,(BirdLife International 2001),"",Not relevant,No claim,"",no,2014
Megapodius bernsteinii (Doherty et al. 2016) core source_claim,(Rheindt 2010)_EXCLUDE_0_No claim_NA_NA,(Doherty et al. 2016) core source_claim,Megapodius bernsteinii,2,(Rheindt 2010),"",Not relevant,No claim,"",no,2014
Megapodius bernsteinii (IUCN 2025) core source_claim,(BirdLife International 2001)_EXCLUDE_0_No claim_NA_NA,(IUCN 2025) core source_claim,Megapodius bernsteinii,1,(BirdLife International 2001),"",Not relevant,No claim,"",no,2020
Megapodius bernsteinii (IUCN 2025) core source_claim,(Rheindt 2010)_EXCLUDE_0_No claim_NA_NA,(IUCN 2025) core source_claim,Megapodius bernsteinii,1,(Rheindt 2010),"",Not relevant,No claim,"",no,2020
Megapodius laperouse (Doherty et al. 2016) core source_claim,(Dekker 1989)_EXCLUDE_1_No claim_NA_NA,(Doherty et al. 2016) core source_claim,Megapodius laperouse,2,(Dekker 1989),"",Not relevant,No claim,"",no,2014
Megapodius laperouse (Doherty et al. 2016) core source_claim,(Ludwig 1979)_EXCLUDE_0_Inaccessible_NA_NA,(Doherty et al. 2016) core source_claim,Megapodius laperouse,2,(Ludwig 1979),0,Not relevant,Inaccessible,"",no,2014
Megapodius laperouse (Doherty et al. 2016) core source_claim,(USFWS 1998a)_INCLUDE_NA_Predation in support_no_no,(Doherty et al. 2016) core source_claim,Megapodius laperouse,1,(USFWS 1998a),"",Yes,Predation in support without data,no,no,2014
Megapodius laperouse (IUCN 2025) core source_claim,(Dekker 1989)_EXCLUDE_1_No claim_NA_NA,(IUCN 2025) core source_claim,Megapodius laperouse,2,(Dekker 1989),"",Not relevant,No claim,"",no,2020
Megapodius laperouse (IUCN 2025) core source_claim,(Ludwig 1979)_EXCLUDE_0_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Megapodius laperouse,2,(Ludwig 1979),0,Not relevant,Inaccessible,"",no,2020
Megapodius laperouse (IUCN 2025) core source_claim,(Pratt & Etpison 2008)_EXCLUDE_0_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Megapodius laperouse,1,(Pratt & Etpison 2008),0,Not relevant,Inaccessible,"",no,2020
Megapodius laperouse (IUCN 2025) core source_claim,(Radley et al. 2021)_EXCLUDE_1_No claim_NA_NA,(IUCN 2025) core source_claim,Megapodius laperouse,1,(Radley et al. 2021),"",Not relevant,No claim,"",no,2020
Megapodius laperouse (IUCN 2025) core source_claim,(USFWS 1998a)_INCLUDE_NA_Predation in support_no_no,(IUCN 2025) core source_claim,Megapodius laperouse,1,(USFWS 1998a),"",Yes,Predation in support without data,no,no,2020
Megapodius laperouse (IUCN 2025) core source_claim,"T. Hall, pers. comm. 2020_EXCLUDE_0_Inaccessible_NA_NA",(IUCN 2025) core source_claim,Megapodius laperouse,1,"T. Hall, pers. comm. 2020",0,Not relevant,Inaccessible,"",no,2020
Megapodius laperouse (Medina et al. 2011) core source_claim,(BirdLife International 2000)_EXCLUDE_0_Inaccessible_NA_NA,(Medina et al. 2011) core source_claim,Megapodius laperouse,1,(BirdLife International 2000),0,Not relevant,Inaccessible,"",no,2009
Megapodius nicobariensis (Doherty et al. 2016) core source_claim,(Sivakumar 2010)_INCLUDE_NA_Predation in support_no_no,(Doherty et al. 2016) core source_claim,Megapodius nicobariensis,1,(Sivakumar 2010),"",Yes,Predation in support without data,no,no,2014
Megapodius nicobariensis (Doherty et al. 2016) core source_claim,K. Sivakumar in litt. 2004_EXCLUDE_0_Inaccessible_NA_NA,(Doherty et al. 2016) core source_claim,Megapodius nicobariensis,2,K. Sivakumar in litt. 2004,0,Not relevant,Inaccessible,"",no,2014
Megapodius nicobariensis (IUCN 2025) core source_claim,K. Sivakumar in litt. 2004_EXCLUDE_0_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Megapodius nicobariensis,1,K. Sivakumar in litt. 2004,0,Not relevant,Inaccessible,"",no,2020
Melamprosops phaeosoma (Doherty et al. 2016) core source_claim,(Mountainspring et al. 1990)_EXCLUDE_1_Opinion claim_NA_NA,(Doherty et al. 2016) core source_claim,Melamprosops phaeosoma,1,(Mountainspring et al. 1990),"",Not relevant,Opinion claim,"",no,2014
Melamprosops phaeosoma (Doherty et al. 2016) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Melamprosops phaeosoma,(Doherty et al. 2016) core source_claim,Melamprosops phaeosoma,2,NOTHING NA Melamprosops phaeosoma,"",Not relevant,No citation given,"",no,2014
Melamprosops phaeosoma (Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Melamprosops phaeosoma,(Hume 2017) core source_claim,Melamprosops phaeosoma,1,NOTHING NA Melamprosops phaeosoma,"",Not relevant,No citation given,"",no,2016
Melamprosops phaeosoma (IUCN 2025) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Melamprosops phaeosoma,(IUCN 2025) core source_claim,Melamprosops phaeosoma,1,NOTHING NA Melamprosops phaeosoma,"",Not relevant,No citation given,"",no,2018
Melanodryas vittata (IUCN 2025) core source_claim,(Woinarski et al. 2017)_EXCLUDE_1_No claim_NA_NA,(IUCN 2025) core source_claim,Melanodryas vittata,1,(Woinarski et al. 2017),"",Not relevant,No claim,"",no,2020
Melopyrrha grandis (IUCN 2025) core source_claim,(Birds Caribbean 2021)_EXCLUDE_0_No claim_NA_NA,(IUCN 2025) core source_claim,Melopyrrha grandis,1,(Birds Caribbean 2021),"",Not relevant,No claim,"",no,2021
Melopyrrha grandis (IUCN 2025) core source_claim,(Olson 1984)_EXCLUDE_?_No claim_NA_NA,(IUCN 2025) core source_claim,Melopyrrha grandis,2,(Olson 1984),"",Not relevant,No claim,"",no,2021
Melopyrrha grandis (IUCN 2025) core source_claim,(Ryan 2021)_EXCLUDE_0_No claim_NA_NA,(IUCN 2025) core source_claim,Melopyrrha grandis,1,(Ryan 2021),"",Not relevant,No claim,"",no,2021
Melopyrrha grandis (IUCN 2025) core source_claim,L. Bonaparte in litt. 2022_EXCLUDE_0_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Melopyrrha grandis,1,L. Bonaparte in litt. 2022,0,Not relevant,Inaccessible,"",no,2021
Melopyrrha grandis (IUCN 2025) core source_claim,M. Ryan in litt. 2022_EXCLUDE_0_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Melopyrrha grandis,1,M. Ryan in litt. 2022,0,Not relevant,Inaccessible,"",no,2021
Melopyrrha grandis (IUCN 2025) core source_claim,P. Feldmann in litt. 2022_EXCLUDE_0_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Melopyrrha grandis,1,P. Feldmann in litt. 2022,0,Not relevant,Inaccessible,"",no,2021
Mergus australis (Doherty et al. 2016) core source_claim,(Kear & Scarlett 1970)_EXCLUDE_1_Opinion claim_NA_NA,(Doherty et al. 2016) core source_claim,Mergus australis,2,(Kear & Scarlett 1970),"",Not relevant,Opinion claim,"",no,2014
Mergus australis (Doherty et al. 2016) core source_claim,(Livezey 1989)_EXCLUDE_1_No claim_NA_NA,(Doherty et al. 2016) core source_claim,Mergus australis,2,(Livezey 1989),"",Not relevant,No claim,"",no,2014
Mergus australis (Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Mergus australis,(Hume 2017) core source_claim,Mergus australis,1,NOTHING NA Mergus australis,"",Not relevant,No citation given,"",no,2016
Mergus australis (IUCN 2025) core source_claim,(Kear & Scarlett 1970)_EXCLUDE_1_Opinion claim_NA_NA,(IUCN 2025) core source_claim,Mergus australis,1,(Kear & Scarlett 1970),"",Not relevant,Opinion claim,"",no,2022
Mergus australis (IUCN 2025) core source_claim,(Livezey 1989)_EXCLUDE_1_No claim_NA_NA,(IUCN 2025) core source_claim,Mergus australis,1,(Livezey 1989),"",Not relevant,No claim,"",no,2022
Merulaxis stresemanni (IUCN 2025) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Merulaxis stresemanni,(IUCN 2025) core source_claim,Merulaxis stresemanni,1,NOTHING NA Merulaxis stresemanni,"",Not relevant,No citation given,"",no,2019
Mesembriomys gouldii (IUCN 2025) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Mesembriomys gouldii,(IUCN 2025) core source_claim,Mesembriomys gouldii,2,NOTHING NA Mesembriomys gouldii,"",Not relevant,No citation given,"",no,2014
Mesembriomys gouldii (Radford et al. 2018) core source_claim,(Hohnen 2015)_EXCLUDE_0_No claim_NA_NA,(Radford et al. 2018) core source_claim,Mesembriomys gouldii,1,(Hohnen 2015),"",Not relevant,No claim,"",no,2016
Mesembriomys gouldii (Radford et al. 2018) core source_claim,(Hohnen et al. 2016b)_EXCLUDE_1_No claim_NA_NA,(Radford et al. 2018) core source_claim,Mesembriomys gouldii,1,(Hohnen et al. 2016b),"",Not relevant,No claim,"",no,2016
Mesembriomys gouldii (Wallach & Lundgren 2025)_external review without claim,(Davies et al. 2018)_INCLUDE_NA_Population not in support_yes_yes,(Wallach & Lundgren 2025)_external review without claim,Mesembriomys gouldii,1,(Davies et al. 2018),"",No,Population not in support with data of quality,yes,yes,2022
Mesembriomys gouldii (Wallach & Lundgren 2025)_external review without claim,(Stobo-Wilson et al. 2020)_INCLUDE_NA_Population in support_yes_yes,(Wallach & Lundgren 2025)_external review without claim,Mesembriomys gouldii,1,(Stobo-Wilson et al. 2020),"",Yes,Population in support with data of quality,yes,yes,2022
Mesembriomys gouldii (Wallach & Lundgren 2025)_external review without claim,(Stokeld et al. 2018)_INCLUDE_NA_Predation in support_no_no,(Wallach & Lundgren 2025)_external review without claim,Mesembriomys gouldii,1,(Stokeld et al. 2018),"",Yes,Predation in support without data,no,no,2022
Mesembriomys gouldii (Woinarski et al. 2014) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Mesembriomys gouldii,(Woinarski et al. 2014) core source_claim,Mesembriomys gouldii,1,NOTHING NA Mesembriomys gouldii,"",Not relevant,No citation given,"",no,2013
Mesembriomys macrurus (Dickman 1996b) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Mesembriomys macrurus,(Dickman 1996b) core source_claim,Mesembriomys macrurus,1,NOTHING NA Mesembriomys macrurus,"",Not relevant,No citation given,"",no,1994
Mesembriomys macrurus (IUCN 2025) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Mesembriomys macrurus,(IUCN 2025) core source_claim,Mesembriomys macrurus,1,NOTHING NA Mesembriomys macrurus,"",Not relevant,No citation given,"",no,2015
Mesocapromys sanfelipensis (IUCN 2025) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Mesocapromys sanfelipensis,(IUCN 2025) core source_claim,Mesocapromys sanfelipensis,1,NOTHING NA Mesocapromys sanfelipensis,"",Not relevant,No citation given,"",no,2016
Metabolus rugensis (IUCN 2025) core source_claim,(SPREP 2000)_EXCLUDE_0_No claim_NA_NA,(IUCN 2025) core source_claim,Metabolus rugensis,1,(SPREP 2000),"",Not relevant,No claim,"",no,2022
Metabolus rugensis (IUCN 2025) core source_claim,M. O'Brien in litt. 2023_EXCLUDE_0_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Metabolus rugensis,1,M. O'Brien in litt. 2023,0,Not relevant,Inaccessible,"",no,2022
Microgoura meeki (Doherty et al. 2016) core source_claim,(Tennent 2009)_INCLUDE_NA_Predation in support_no_no,(Doherty et al. 2016) core source_claim,Microgoura meeki,1,(Tennent 2009),"",Yes,Predation in support without data,no,no,2014
Microgoura meeki (Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Microgoura meeki,(Hume 2017) core source_claim,Microgoura meeki,1,NOTHING NA Microgoura meeki,"",Not relevant,No citation given,"",no,2016
Microgoura meeki (IUCN 2025) core source_claim,(Tennent 2009)_INCLUDE_NA_Predation in support_no_no,(IUCN 2025) core source_claim,Microgoura meeki,1,(Tennent 2009),"",Yes,Predation in support without data,no,no,2022
Microgoura meeki (Medina et al. 2011) core source_claim,(Flannery 2001)_EXCLUDE_0_Inaccessible_NA_NA,(Medina et al. 2011) core source_claim,Microgoura meeki,1,(Flannery 2001),0,Not relevant,Inaccessible,"",no,2009
Microlophus bivittatus (IUCN 2025) core source_claim,(Carrión Avilés 2012)_EXCLUDE_0_Not in English or Spanish_NA_NA,(IUCN 2025) core source_claim,Microlophus bivittatus,1,(Carrión Avilés 2012),"",Not relevant,Not in English or Spanish,"",no,2013
Microlophus bivittatus (IUCN 2025) core source_claim,C. Marquez and D. Cisneros-Heredia pers. comm. 2014_EXCLUDE_0_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Microlophus bivittatus,1,C. Marquez and D. Cisneros-Heredia pers. comm. 2014,0,Not relevant,Inaccessible,"",no,2013
Microlophus grayii (IUCN 2025) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Microlophus grayii,(IUCN 2025) core source_claim,Microlophus grayii,1,NOTHING NA Microlophus grayii,"",Not relevant,No citation given,"",no,2013
Micrurus meridensis (IUCN 2025) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Micrurus meridensis,(IUCN 2025) core source_claim,Micrurus meridensis,1,NOTHING NA Micrurus meridensis,"",Not relevant,No citation given,"",no,2014
Mimus graysoni (Doherty et al. 2016) core source_claim,(Jehl & Parkes 1982)_EXCLUDE_?_No claim_NA_NA,(Doherty et al. 2016) core source_claim,Mimus graysoni,2,(Jehl & Parkes 1982),"",Not relevant,No claim,"",no,2014
Mimus graysoni (Doherty et al. 2016) core source_claim,(Martínez-Gómez & Curry 1996)_INCLUDE_NA_Predation not in support_no_no,(Doherty et al. 2016) core source_claim,Mimus graysoni,1,(Martínez-Gómez & Curry 1996),"",No,Predation not in support without data,no,no,2014
Mimus graysoni (Doherty et al. 2016) core source_claim,(Martınez-Gomez et al. 2001)_INCLUDE_NA_Population not in support_yes_no,(Doherty et al. 2016) core source_claim,Mimus graysoni,1,(Martınez-Gomez et al. 2001),"",No,Population not in support with data,yes,no,2014
Mimus graysoni (Doherty et al. 2016) core source_claim,(Rodríguez-Estrella et al. 1991)_INCLUDE_NA_Predation in support_no_no,(Doherty et al. 2016) core source_claim,Mimus graysoni,2,(Rodríguez-Estrella et al. 1991),"",Yes,Predation in support without data,no,no,2014
Mimus graysoni (Doherty et al. 2016) core source_claim,(Wehtje et al. 1993)_EXCLUDE_?_Opinion claim_NA_NA,(Doherty et al. 2016) core source_claim,Mimus graysoni,2,(Wehtje et al. 1993),"",Not relevant,Opinion claim,"",no,2014
Mimus graysoni (Doherty et al. 2016) core source_claim,R. Rodriguez-Estrella in litt. 1995)._EXCLUDE_0_Inaccessible_NA_NA,(Doherty et al. 2016) core source_claim,Mimus graysoni,2,R. Rodriguez-Estrella in litt. 1995).,0,Not relevant,Inaccessible,"",no,2014
Mimus graysoni (IUCN 2025) core source_claim,(Jehl & Parkes 1982)_EXCLUDE_?_No claim_NA_NA,(IUCN 2025) core source_claim,Mimus graysoni,2,(Jehl & Parkes 1982),"",Not relevant,No claim,"",no,2019
Mimus graysoni (IUCN 2025) core source_claim,(Martínez-Gómez & Curry 1996)_INCLUDE_NA_Predation not in support_no_no,(IUCN 2025) core source_claim,Mimus graysoni,1,(Martínez-Gómez & Curry 1996),"",No,Predation not in support without data,no,no,2019
Mimus graysoni (IUCN 2025) core source_claim,(Martınez-Gomez et al. 2001)_INCLUDE_NA_Population not in support_yes_no,(IUCN 2025) core source_claim,Mimus graysoni,1,(Martınez-Gomez et al. 2001),"",No,Population not in support with data,yes,no,2019
Mimus graysoni (IUCN 2025) core source_claim,(Ortiz-Alcaraz et al. 2017)_INCLUDE_NA_Predation not in support_no_no,(IUCN 2025) core source_claim,Mimus graysoni,1,(Ortiz-Alcaraz et al. 2017),"",No,Predation not in support without data,no,no,2019
Mimus graysoni (IUCN 2025) core source_claim,(Rodríguez-Estrella et al. 1991)_INCLUDE_NA_Predation in support_no_no,(IUCN 2025) core source_claim,Mimus graysoni,2,(Rodríguez-Estrella et al. 1991),"",Yes,Predation in support without data,no,no,2019
Mimus graysoni (IUCN 2025) core source_claim,(Wehtje et al. 1993)_EXCLUDE_?_Opinion claim_NA_NA,(IUCN 2025) core source_claim,Mimus graysoni,2,(Wehtje et al. 1993),"",Not relevant,Opinion claim,"",no,2019
Mimus graysoni (IUCN 2025) core source_claim,J. E. Martínez-Gómez in litt. 2007_EXCLUDE_0_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Mimus graysoni,1,J. E. Martínez-Gómez in litt. 2007,0,Not relevant,Inaccessible,"",no,2019
Mimus graysoni (IUCN 2025) core source_claim,R. Rodriguez-Estrella in litt. 1995)._EXCLUDE_0_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Mimus graysoni,2,R. Rodriguez-Estrella in litt. 1995).,0,Not relevant,Inaccessible,"",no,2019
Mimus graysoni (Medina et al. 2011) core source_claim,(Arnaud et al. 1994)_EXCLUDE_0_No claim_NA_NA,(Medina et al. 2011) core source_claim,Mimus graysoni,1,(Arnaud et al. 1994),"",Not relevant,No claim,"",no,2009
Mimus graysoni (Medina et al. 2011) core source_claim,(Jehl & Parkes 1982)_EXCLUDE_?_No claim_NA_NA,(Medina et al. 2011) core source_claim,Mimus graysoni,2,(Jehl & Parkes 1982),"",Not relevant,No claim,"",no,2009
Mimus graysoni (Medina et al. 2011) core source_claim,(Martínez-Gómez & Curry 1996)_INCLUDE_NA_Predation not in support_no_no,(Medina et al. 2011) core source_claim,Mimus graysoni,1,(Martínez-Gómez & Curry 1996),"",No,Predation not in support without data,no,no,2009
Mimus graysoni (Medina et al. 2011) core source_claim,(Martınez-Gomez & Jacobsen 2004)_EXCLUDE_1_No claim_NA_NA,(Medina et al. 2011) core source_claim,Mimus graysoni,1,(Martınez-Gomez & Jacobsen 2004),"",Not relevant,No claim,"",no,2009
Mimus graysoni (Medina et al. 2011) core source_claim,(Rodríguez-Estrella et al. 1991)_INCLUDE_NA_Predation in support_no_no,(Medina et al. 2011) core source_claim,Mimus graysoni,2,(Rodríguez-Estrella et al. 1991),"",Yes,Predation in support without data,no,no,2009
Mimus graysoni (Medina et al. 2011) core source_claim,(Wehtje et al. 1993)_EXCLUDE_?_Opinion claim_NA_NA,(Medina et al. 2011) core source_claim,Mimus graysoni,2,(Wehtje et al. 1993),"",Not relevant,Opinion claim,"",no,2009
Mimus graysoni (Medina et al. 2011) core source_claim,R. Rodriguez-Estrella in litt. 1995)._EXCLUDE_0_Inaccessible_NA_NA,(Medina et al. 2011) core source_claim,Mimus graysoni,2,R. Rodriguez-Estrella in litt. 1995).,0,Not relevant,Inaccessible,"",no,2009
Mimus graysoni Web of Science_Systematic external review,(Jehl & Parkes 1982)_EXCLUDE_?_No claim_NA_NA,Web of Science_Systematic external review,Mimus graysoni,2,(Jehl & Parkes 1982),"",Not relevant,No claim,"",no,2025
Mimus graysoni Web of Science_Systematic external review,(Martınez-Gomez et al. 2001)_INCLUDE_NA_Population not in support_yes_no,Web of Science_Systematic external review,Mimus graysoni,1,(Martınez-Gomez et al. 2001),"",No,Population not in support with data,yes,no,2025
Mimus melanotis (Doherty et al. 2016) core source_claim,(Curry 1989)_INCLUDE_NA_Predation not in support_no_no,(Doherty et al. 2016) core source_claim,Mimus melanotis,2,(Curry 1989),"",No,Predation not in support without data,no,no,2014
Mimus melanotis (Doherty et al. 2016) core source_claim,(Dvorak et al. 2020)_EXCLUDE_1_No claim_NA_NA,(Doherty et al. 2016) core source_claim,Mimus melanotis,2,(Dvorak et al. 2020),"",Not relevant,No claim,"",no,2014
Mimus melanotis (Doherty et al. 2016) core source_claim,(Vargas 1996)_EXCLUDE_?_Inaccessible_NA_NA,(Doherty et al. 2016) core source_claim,Mimus melanotis,2,(Vargas 1996),?,Not relevant,Inaccessible,"",no,2014
Mimus melanotis (IUCN 2025) core source_claim,(Curry 1989)_INCLUDE_NA_Predation not in support_no_no,(IUCN 2025) core source_claim,Mimus melanotis,1,(Curry 1989),"",No,Predation not in support without data,no,no,2019
Mimus melanotis (IUCN 2025) core source_claim,(Dvorak et al. 2020)_EXCLUDE_1_No claim_NA_NA,(IUCN 2025) core source_claim,Mimus melanotis,1,(Dvorak et al. 2020),"",Not relevant,No claim,"",no,2019
Mimus melanotis (IUCN 2025) core source_claim,(Vargas 1996)_EXCLUDE_?_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Mimus melanotis,1,(Vargas 1996),?,Not relevant,Inaccessible,"",no,2019
Mimus trifasciatus (Doherty et al. 2016) core source_claim,(Curry 1986)_INCLUDE_NA_Predation not in support_no_no,(Doherty et al. 2016) core source_claim,Mimus trifasciatus,1,(Curry 1986),"",No,Predation not in support without data,no,no,2014
Mimus trifasciatus (Doherty et al. 2016) core source_claim,(Harris 1973)_EXCLUDE_1_Opinion claim_NA_NA,(Doherty et al. 2016) core source_claim,Mimus trifasciatus,2,(Harris 1973),"",Not relevant,Opinion claim,"",no,2014
Mimus trifasciatus (Doherty et al. 2016) core source_claim,(Swarth 1931)_EXCLUDE_1_Inaccessible_NA_NA,(Doherty et al. 2016) core source_claim,Mimus trifasciatus,2,(Swarth 1931),1,Not relevant,Inaccessible,"",no,2014
Mimus trifasciatus (IUCN 2025) core source_claim,(Curry 1986)_INCLUDE_NA_Predation not in support_no_no,(IUCN 2025) core source_claim,Mimus trifasciatus,1,(Curry 1986),"",No,Predation not in support without data,no,no,2017
Mimus trifasciatus (IUCN 2025) core source_claim,(Harris 1973)_EXCLUDE_1_Opinion claim_NA_NA,(IUCN 2025) core source_claim,Mimus trifasciatus,1,(Harris 1973),"",Not relevant,Opinion claim,"",no,2017
Mimus trifasciatus (IUCN 2025) core source_claim,(Swarth 1931)_EXCLUDE_1_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Mimus trifasciatus,2,(Swarth 1931),1,Not relevant,Inaccessible,"",no,2017
Miniopterus robustior (IUCN 2025) core source_claim,(Palmas et al. In preparation)_EXCLUDE_0_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Miniopterus robustior,1,(Palmas et al. In preparation),0,Not relevant,Inaccessible,"",no,2019
Mniarogekko jalu (IUCN 2025) core source_claim,(Palmas et al. In preparation)_EXCLUDE_0_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Mniarogekko jalu,1,(Palmas et al. In preparation),0,Not relevant,Inaccessible,"",no,2016
Mokopirirakau nebulosus (IUCN 2025) core source_claim,R. Hitchmough pers. comm. 2019_EXCLUDE_0_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Mokopirirakau nebulosus,1,R. Hitchmough pers. comm. 2019,0,Not relevant,Inaccessible,"",no,2017
Mundia elpenor (Doherty et al. 2016) core source_claim,(IUCN 2025) core source_EXCLUDE_NA_No claim,(Doherty et al. 2016) core source_claim,Mundia elpenor,1,(IUCN 2025) core source,,Not relevant,No claim,"",no,2014
Mundia elpenor (Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Mundia elpenor,(Hume 2017) core source_claim,Mundia elpenor,1,NOTHING NA Mundia elpenor,"",Not relevant,No citation given,"",no,2016
Mus mayori (Doherty et al. 2016) core source_claim,(Molur et al. 2005)_EXCLUDE_0_Opinion claim_NA_NA,(Doherty et al. 2016) core source_claim,Mus mayori,1,(Molur et al. 2005),"",Not relevant,Opinion claim,"",no,2014
Mus mayori (IUCN 2025) core source_claim,(Molur et al. 2005)_EXCLUDE_0_Opinion claim_NA_NA,(IUCN 2025) core source_claim,Mus mayori,1,(Molur et al. 2005),"",Not relevant,Opinion claim,"",no,2023
Myadestes obscurus (IUCN 2025) core source_claim,(Wakelee & Fancy 1999)_EXCLUDE_0_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Myadestes obscurus,1,(Wakelee & Fancy 1999),0,Not relevant,Inaccessible,"",no,2022
Myadestes obscurus (Medina et al. 2011) core source_claim,(Smucker et al. 2000)_INCLUDE_NA_Predation in support_no_no,(Medina et al. 2011) core source_claim,Myadestes obscurus,1,(Smucker et al. 2000),"",Yes,Predation in support without data,no,no,2009
Myadestes palmeri (IUCN 2025) core source_claim,(Snetsinger et al. 1999)_EXCLUDE_0_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Myadestes palmeri,1,(Snetsinger et al. 1999),0,Not relevant,Inaccessible,"",no,2022
Myadestes palmeri (IUCN 2025) core source_claim,(Snetsinger et al. 2005)_EXCLUDE_1_No claim_NA_NA,(IUCN 2025) core source_claim,Myadestes palmeri,1,(Snetsinger et al. 2005),"",Not relevant,No claim,"",no,2022
Myadestes palmeri (Medina et al. 2011) core source_claim,(Winter & Wallace 2006)_EXCLUDE_0_Opinion claim_NA_NA,(Medina et al. 2011) core source_claim,Myadestes palmeri,1,(Winter & Wallace 2006),"",Not relevant,Opinion claim,"",no,2009
Myotis vivesi (Doherty et al. 2016) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Myotis vivesi,(Doherty et al. 2016) core source_claim,Myotis vivesi,2,NOTHING NA Myotis vivesi,"",Not relevant,No citation given,"",no,2014
Myotis vivesi (IUCN 2025) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Myotis vivesi,(IUCN 2025) core source_claim,Myotis vivesi,1,NOTHING NA Myotis vivesi,"",Not relevant,No citation given,"",no,2014
