Class,Order,Family,Genus,Scientific name,Redlist category,Realm,Systems
MAMMALIA,PERAMELEMORPHIA,PERAMELIDAE,Perameles,Perameles bougainville,Vulnerable,Australasian,Terrestrial
MAMMALIA,PERAMELEMORPHIA,PERAMELIDAE,Perameles,Perameles eremiana,Extinct,Australasian,Terrestrial
MAMMALIA,PERAMELEMORPHIA,PERAMELIDAE,Perameles,Perameles gunnii,Vulnerable,Australasian,Terrestrial
MAMMALIA,DASYUROMORPHIA,DASYURIDAE,Phascogale,Phascogale calura,Near Threatened,Australasian,Terrestrial
REPTILIA,SQUAMATA,SCINCIDAE,Leiolopisma,Leiolopisma ceciliae,Extinct,Afrotropical,Terrestrial
REPTILIA,SQUAMATA,IGUANIDAE,Cyclura,Cyclura onchiopsis,Extinct,Neotropical,Terrestrial
REPTILIA,SQUAMATA,GEKKONIDAE,Phelsuma,Phelsuma edwardnewtonii,Extinct,Afrotropical,Terrestrial
MAMMALIA,DIPROTODONTIA,POTOROIDAE,Potorous,Potorous platyops,Extinct,Australasian,Terrestrial
MAMMALIA,RODENTIA,MURIDAE,Pseudomys,Pseudomys fieldi,Vulnerable,Australasian,Terrestrial
MAMMALIA,RODENTIA,MURIDAE,Pseudomys,Pseudomys glaucus,Extinct,Australasian,Terrestrial
MAMMALIA,RODENTIA,MURIDAE,Rattus,Rattus tunneyi,Least Concern,Australasian,Terrestrial
MAMMALIA,EULIPOTYPHLA,SOLENODONTIDAE,Solenodon,Solenodon marcanoi,Extinct,Neotropical,Terrestrial
MAMMALIA,PERAMELEMORPHIA,CHAEROPODIDAE,Chaeropus,Chaeropus ecaudatus,Extinct,Australasian,Terrestrial
AVES,GALLIFORMES,PHASIANIDAE,Coturnix,Coturnix novaezelandiae,Extinct,Oceanian,Terrestrial
AVES,ANSERIFORMES,ANATIDAE,Mergus,Mergus australis,Extinct,Oceanian,Freshwater (=Inland waters)|Marine
AVES,COLUMBIFORMES,COLUMBIDAE,Pezophaps,Pezophaps solitaria,Extinct,Afrotropical,Terrestrial
AVES,COLUMBIFORMES,COLUMBIDAE,Columba,Columba versicolor,Extinct,Palearctic,Terrestrial
AVES,COLUMBIFORMES,COLUMBIDAE,Columba,Columba jouyi,Extinct,Palearctic,Terrestrial
AVES,COLUMBIFORMES,COLUMBIDAE,Zenaida,Zenaida graysoni,Extinct in the Wild,Neotropical,Terrestrial
AVES,COLUMBIFORMES,COLUMBIDAE,Pampusana,Pampusana salamonis,Extinct,Australasian,Terrestrial
AVES,COLUMBIFORMES,COLUMBIDAE,Microgoura,Microgoura meeki,Extinct,Australasian,Terrestrial
AVES,COLUMBIFORMES,COLUMBIDAE,Ptilinopus,Ptilinopus mercierii,Extinct,Oceanian,Terrestrial
AVES,GRUIFORMES,RALLIDAE,Hypotaenidia,Hypotaenidia pacifica,Extinct,Oceanian,Terrestrial
AVES,GRUIFORMES,RALLIDAE,Hypotaenidia,Hypotaenidia dieffenbachii,Extinct,Australasian,Terrestrial
AVES,GRUIFORMES,RALLIDAE,Zapornia,Zapornia sandwichensis,Extinct,Oceanian,Terrestrial
AVES,CHARADRIIFORMES,HAEMATOPODIDAE,Haematopus,Haematopus meadewaldoi,Extinct,Palearctic,Terrestrial|Marine
AVES,CHARADRIIFORMES,ALCIDAE,Ptychoramphus,Ptychoramphus aleuticus,Near Threatened,Nearctic,Terrestrial|Marine
AVES,PROCELLARIIFORMES,HYDROBATIDAE,Hydrobates,Hydrobates macrodactylus,Critically Endangered,Nearctic,Terrestrial|Marine
AVES,PASSERIFORMES,ACANTHISITTIDAE,Traversia,Traversia lyalli,Extinct,Australasian,Terrestrial
AVES,PASSERIFORMES,PETROICIDAE,Petroica,Petroica traversi,Vulnerable,Australasian,Terrestrial
AVES,PASSERIFORMES,CORVIDAE,Corvus,Corvus hawaiiensis,Extinct in the Wild,Oceanian,Terrestrial
AVES,PASSERIFORMES,TURDIDAE,Zoothera,Zoothera terrestris,Extinct,Palearctic,Terrestrial
AVES,PASSERIFORMES,TURDIDAE,Turdus,Turdus ravidus,Extinct,Neotropical,Terrestrial
AVES,PASSERIFORMES,ZOSTEROPIDAE,Zosterops,Zosterops albogularis,Extinct,Australasian,Terrestrial
AVES,PASSERIFORMES,ACROCEPHALIDAE,Nesillas,Nesillas aldabrana,Extinct,Afrotropical,Terrestrial
AVES,PASSERIFORMES,FRINGILLIDAE,Carpodacus,Carpodacus ferreorostris,Extinct,Palearctic,Terrestrial
AVES,PASSERIFORMES,FRINGILLIDAE,Psittirostra,Psittirostra psittacea,Extinct,Oceanian,Terrestrial
