scientificName,value,pub_year,Note
Megapodius laperouse,(IUCN 2025) core source,2020,
Megapodius laperouse,(IUCN 2025) core source,2020,
Megapodius laperouse,(IUCN 2025) core source,2020,
Megapodius laperouse,(IUCN 2025) core source,2020,
Megapodius nicobariensis,(IUCN 2025) core source,2020,
Megapodius nicobariensis,(IUCN 2025) core source,2020,
Melamprosops phaeosoma,(IUCN 2025) core source,2018,
Melamprosops phaeosoma,(IUCN 2025) core source,2018,
Melanodryas vittata,(IUCN 2025) core source,2020,
Melopyrrha grandis,(IUCN 2025) core source,2021,
Melopyrrha grandis,(IUCN 2025) core source,2021,
Melopyrrha grandis,(IUCN 2025) core source,2021,
Melopyrrha grandis,(IUCN 2025) core source,2021,
Melopyrrha grandis,(IUCN 2025) core source,2021,
Melopyrrha grandis,(IUCN 2025) core source,2021,
Mergus australis,(IUCN 2025) core source,2022,
Mergus australis,(IUCN 2025) core source,2022,
Mergus australis,(IUCN 2025) core source,2022,
Merulaxis stresemanni,(IUCN 2025) core source,2019,
Mesembriomys gouldii,(IUCN 2025) core source,2014,
Mesembriomys macrurus,(IUCN 2025) core source,2015,
Mesocapromys sanfelipensis,(IUCN 2025) core source,2016,
Metabolus rugensis,(IUCN 2025) core source,2022,
Metabolus rugensis,(IUCN 2025) core source,2022,
Microgoura meeki,(IUCN 2025) core source,2022,
Microgoura meeki,(IUCN 2025) core source,2022,
Microlophus bivittatus,(IUCN 2025) core source,2013,
Microlophus bivittatus,(IUCN 2025) core source,2013,
Microlophus grayii,(IUCN 2025) core source,2013,
Micrurus meridensis,(IUCN 2025) core source,2014,
Mimus graysoni,(IUCN 2025) core source,2019,
Mimus graysoni,(IUCN 2025) core source,2019,
Mimus graysoni,(IUCN 2025) core source,2019,
Mimus graysoni,(IUCN 2025) core source,2019,
Mimus graysoni,(IUCN 2025) core source,2019,
Mimus graysoni,(IUCN 2025) core source,2019,
Mimus graysoni,(IUCN 2025) core source,2019,
Mimus melanotis,(IUCN 2025) core source,2019,
Mimus melanotis,(IUCN 2025) core source,2019,
Mimus melanotis,(IUCN 2025) core source,2019,
Mimus melanotis,(IUCN 2025) core source,2019,
Mimus trifasciatus,(IUCN 2025) core source,2017,
Mimus trifasciatus,(IUCN 2025) core source,2017,
Mimus trifasciatus,(IUCN 2025) core source,2017,
Mimus trifasciatus,(IUCN 2025) core source,2017,
Miniopterus robustior,(IUCN 2025) core source,2019,
Mniarogekko jalu,(IUCN 2025) core source,2016,
Mokopirirakau nebulosus,(IUCN 2025) core source,2017,
Mundia elpenor,(IUCN 2025) core source,2023,
Mus mayori,(IUCN 2025) core source,2023,
Myadestes obscurus,(IUCN 2025) core source,2022,
Myadestes palmeri,(IUCN 2025) core source,2022,
Myadestes palmeri,(IUCN 2025) core source,2022,
Myotis vivesi,(IUCN 2025) core source,2014,
Myotis vivesi,(IUCN 2025) core source,2014,
Myrmecobius fasciatus,(IUCN 2025) core source,2014,
Myrmecobius fasciatus,(IUCN 2025) core source,2014,
Myrmecobius fasciatus,(IUCN 2025) core source,2014,
Myrmecobius fasciatus,(IUCN 2025) core source,2014,
Mysateles prehensilis,(IUCN 2025) core source,2023,
Mysateles prehensilis,(IUCN 2025) core source,2023,
Mysateles prehensilis,(IUCN 2025) core source,2023,
Mysateles prehensilis,(IUCN 2025) core source,2023,
Mysateles prehensilis,(IUCN 2025) core source,2023,
Nactus durrellorum,(IUCN 2025) core source,2017,
Nactus serpensinsula,(IUCN 2025) core source,2017,
Nactus serpensinsula,(IUCN 2025) core source,2017,
Nactus serpensinsula,(IUCN 2025) core source,2017,
Nactus serpensinsula,(IUCN 2025) core source,2017,
Nactus serpensinsula,(IUCN 2025) core source,2017,
Nactus serpensinsula,(IUCN 2025) core source,2017,
Nactus serpensinsula,(IUCN 2025) core source,2017,
Nactus serpensinsula,(IUCN 2025) core source,2017,
Nactus serpensinsula,(IUCN 2025) core source,2017,
Nactus serpensinsula,(IUCN 2025) core source,2017,
Nactus serpensinsula,(IUCN 2025) core source,2017,
Nangura spinosa,(IUCN 2025) core source,2016,
Nannopterum harrisi,(IUCN 2025) core source,2017,
Nannoscincus gracilis,(IUCN 2025) core source,2016,
Nannoscincus hanchisteus,(IUCN 2025) core source,2016,
Naultinus gemmeus,(IUCN 2025) core source,2017,
Naultinus manukanus,(IUCN 2025) core source,2017,
Necropsittacus rodricanus,(IUCN 2025) core source,2023,
Neophema chrysogaster,(IUCN 2025) core source,2017,
Neophema chrysostoma,(IUCN 2025) core source,2020,
Neotamias palmeri,(IUCN 2025) core source,2015,
Neotamias palmeri,(IUCN 2025) core source,2015,
Neotamias palmeri,(IUCN 2025) core source,2015,
Nesillas aldabrana,(IUCN 2025) core source,2023,
Nesillas aldabrana,(IUCN 2025) core source,2023,
Nesoenas duboisi,(IUCN 2025) core source,2023,
Nesoenas mayeri,(IUCN 2025) core source,2019,
Nesoenas mayeri,(IUCN 2025) core source,2019,
Nesofregetta fuliginosa,(IUCN 2025) core source,2017,
Nesofregetta fuliginosa,(IUCN 2025) core source,2017,
Nesofregetta fuliginosa,(IUCN 2025) core source,2017,
Nesoryzomys darwini,(IUCN 2025) core source,2018,
Nesoryzomys indefessus,(IUCN 2025) core source,2016,
Nestor notabilis,(IUCN 2025) core source,2016,
Nestor notabilis,(IUCN 2025) core source,2016,
Notomys amplus,(IUCN 2025) core source,2023,
Notomys aquilo,(IUCN 2025) core source,2014,
Notomys cervinus,(IUCN 2025) core source,2011,
Notomys fuscus,(IUCN 2025) core source,2011,
Notomys fuscus,(IUCN 2025) core source,2011,
Notomys longicaudatus,(IUCN 2025) core source,2023,
Notomys macrotis,(IUCN 2025) core source,2023,
Notomys mordax,(IUCN 2025) core source,2023,
Notomys robustus,(IUCN 2025) core source,2023,
Notopteris neocaledonicus,(IUCN 2025) core source,2017,
Numenius tahitiensis,(IUCN 2025) core source,2019,
Numenius tahitiensis,(IUCN 2025) core source,2019,
Nyctanassa carcinocatactes,(IUCN 2025) core source,2021,
Nyctanassa carcinocatactes,(IUCN 2025) core source,2021,
Nycticorax mauritianus,(IUCN 2025) core source,2023,
Nycticorax megacephalus,(IUCN 2025) core source,2023,
Oedodera marmorata,(IUCN 2025) core source,2016,
Oedodera marmorata,(IUCN 2025) core source,2016,
Oedodera marmorata,(IUCN 2025) core source,2016,
Oligosoma acrinasum,(IUCN 2025) core source,2018,
Oligosoma acrinasum,(IUCN 2025) core source,2018,
Oligosoma burganae,(IUCN 2025) core source,2017,
Oligosoma grande,(IUCN 2025) core source,2017,
Oligosoma homalonotum,(IUCN 2025) core source,2017,
Oligosoma homalonotum,(IUCN 2025) core source,2017,
Oligosoma hoparatea,(IUCN 2025) core source,2017,
Oligosoma lineoocellatum,(IUCN 2025) core source,2017,
Oligosoma oliveri,(IUCN 2025) core source,2018,
Oligosoma otagense,(IUCN 2025) core source,2017,
Oligosoma otagense,(IUCN 2025) core source,2017,
Oligosoma salmo,(IUCN 2025) core source,2018,
Oligosoma striatum,(IUCN 2025) core source,2017,
Oligosoma toka,(IUCN 2025) core source,2017,
Onychogalea fraenata,(IUCN 2025) core source,2015,
Onychogalea lunata,(IUCN 2025) core source,2011,
Ornithorhynchus anatinus,(IUCN 2025) core source,2013,
Otus bikegila,(IUCN 2025) core source,2022,
Otus insularis,(IUCN 2025) core source,2019,
Otus insularis,(IUCN 2025) core source,2019,
Otus insularis,(IUCN 2025) core source,2019,
Otus insularis,(IUCN 2025) core source,2019,
Palmeria dolei,(IUCN 2025) core source,2019,
Palmeria dolei,(IUCN 2025) core source,2019,
Palmeria dolei,(IUCN 2025) core source,2019,
Palmeria dolei,(IUCN 2025) core source,2019,
Palmeria dolei,(IUCN 2025) core source,2019,
Pampusana canifrons,(IUCN 2025) core source,2017,
Pampusana erythroptera,(IUCN 2025) core source,2016,
Pampusana kubaryi,(IUCN 2025) core source,2019,
Pampusana rubescens,(IUCN 2025) core source,2016,
Pampusana salamonis,(IUCN 2025) core source,2022,
Pampusana sanctaecrucis,(IUCN 2025) core source,2017,
Paniegekko madjo,(IUCN 2025) core source,2016,
Papagomys armandvillei,(IUCN 2025) core source,2015,
Parantechinus apicalis,(IUCN 2025) core source,2014,
Parantechinus apicalis,(IUCN 2025) core source,2014,
Parantechinus apicalis,(IUCN 2025) core source,2014,
Parantechinus apicalis,(IUCN 2025) core source,2014,
Pareudiastes pacificus,(IUCN 2025) core source,2015,
Pareudiastes pacificus,(IUCN 2025) core source,2015,
Pareudiastes silvestris,(IUCN 2025) core source,2015,
Passer italiae,(IUCN 2025) core source,2020,
Pelecanoides garnotii,(IUCN 2025) core source,2019,
Pentalagus furnessi,(IUCN 2025) core source,2015,
Pentalagus furnessi,(IUCN 2025) core source,2015,
Pentalagus furnessi,(IUCN 2025) core source,2015,
Pentalagus furnessi,(IUCN 2025) core source,2015,
Pentalagus furnessi,(IUCN 2025) core source,2015,
Pentalagus furnessi,(IUCN 2025) core source,2015,
Pentalagus furnessi,(IUCN 2025) core source,2015,
Pentalagus furnessi,(IUCN 2025) core source,2015,
Pentalagus furnessi,(IUCN 2025) core source,2015,
Pentalagus furnessi,(IUCN 2025) core source,2015,
Perameles bougainville,(IUCN 2025) core source,2013,
Perameles bougainville,(IUCN 2025) core source,2013,
Perameles bougainville,(IUCN 2025) core source,2013,
Perameles eremiana,(IUCN 2025) core source,2011,
Perameles eremiana,(IUCN 2025) core source,2011,
Perameles eremiana,(IUCN 2025) core source,2011,
Perochirus ateles,(IUCN 2025) core source,2015,
Perochirus ateles,(IUCN 2025) core source,2015,
Peromyscus caniceps,(IUCN 2025) core source,2016,
Peromyscus dickeyi,(IUCN 2025) core source,2016,
Peromyscus guardia,(IUCN 2025) core source,2016,
Peromyscus guardia,(IUCN 2025) core source,2016,
Peromyscus interparietalis,(IUCN 2025) core source,2016,
Peromyscus interparietalis,(IUCN 2025) core source,2016,
Peromyscus madrensis,(IUCN 2025) core source,2016,
Peromyscus pseudocrinitus,(IUCN 2025) core source,2016,
Peromyscus pseudocrinitus,(IUCN 2025) core source,2016,
Peromyscus sejugis,(IUCN 2025) core source,2016,
Peromyscus sejugis,(IUCN 2025) core source,2016,
Peromyscus stephani,(IUCN 2025) core source,2016,
Petrogale burbidgei,(IUCN 2025) core source,2011,
Petrogale concinna,(IUCN 2025) core source,2013,
Petrogale lateralis,(IUCN 2025) core source,2013,
Petrogale lateralis,(IUCN 2025) core source,2013,
Petrogale lateralis,(IUCN 2025) core source,2013,
Petrogale lateralis,(IUCN 2025) core source,2013,
Petrogale penicillata,(IUCN 2025) core source,2013,
Petrogale penicillata,(IUCN 2025) core source,2013,
Petroica multicolor,(IUCN 2025) core source,2022,
Petroica multicolor,(IUCN 2025) core source,2022,
Petroica traversi,(IUCN 2025) core source,2020,
Pezophaps solitaria,(IUCN 2025) core source,2023,
Pezoporus occidentalis,(IUCN 2025) core source,2020,
Pezoporus occidentalis,(IUCN 2025) core source,2020,
Pezoporus occidentalis,(IUCN 2025) core source,2020,
Phalacrocorax featherstoni,(IUCN 2025) core source,2017,
Phalacrocorax nigrogularis,(IUCN 2025) core source,2017,
Phascogale calura,(IUCN 2025) core source,2013,
Phascogale pirata,(IUCN 2025) core source,2014,
Phascogale tapoatafa,(IUCN 2025) core source,2011,
Phasmasaurus maruia,(IUCN 2025) core source,2016,
Phasmasaurus tillieri,(IUCN 2025) core source,2016,
Phelsuma edwardnewtonii,(IUCN 2025) core source,2019,
Phelsuma edwardnewtonii,(IUCN 2025) core source,2019,
Phelsuma guentheri,(IUCN 2025) core source,2017,
Phelsuma guimbeaui,(IUCN 2025) core source,2018,
Phelsuma rosagularis,(IUCN 2025) core source,2019,
Philoria frosti,(IUCN 2025) core source,2020,
Phoebastria immutabilis,(IUCN 2025) core source,2017,
Phoebetria fusca,(IUCN 2025) core source,2017,
Phoebetria palpebrata,(IUCN 2025) core source,2017,
Pholidoscelis dorsalis,(IUCN 2025) core source,2014,
Pholidoscelis griswoldi,(IUCN 2025) core source,2014,
Phoniscus papuensis,(IUCN 2025) core source,2019,
Phyllodactylus darwini,(IUCN 2025) core source,2013,
Phyllodactylus leei,(IUCN 2025) core source,2013,
Phyllodactylus leei,(IUCN 2025) core source,2013,
Phyllodactylus pulcher,(IUCN 2025) core source,2014,
Phyllodactylus rutteni,(IUCN 2025) core source,2013,
Phyllodactylus sentosus,(IUCN 2025) core source,2013,
Phyllomys thomasi,(IUCN 2025) core source,2015,
Phyllomys thomasi,(IUCN 2025) core source,2015,
Phyllomys thomasi,(IUCN 2025) core source,2015,
Phyllonycteris aphylla,(IUCN 2025) core source,2014,
Pipilo socorroensis,(IUCN 2025) core source,2019,
Pipilo socorroensis,(IUCN 2025) core source,2019,
Pipistrellus maderensis,(IUCN 2025) core source,2022,
Pitta superba,(IUCN 2025) core source,2021,
Pitta superba,(IUCN 2025) core source,2021,
Plestiodon barbouri,(IUCN 2025) core source,2015,
Plestiodon kishinouyei,(IUCN 2025) core source,2015,
Plestiodon longirostris,(IUCN 2025) core source,2019,
Ploceus grandis,(IUCN 2025) core source,2019,
Podarcis lilfordi,(IUCN 2025) core source,2021,
Podarcis lilfordi,(IUCN 2025) core source,2021,
Podarcis pityusensis,(IUCN 2025) core source,2021,
Podomys floridanus,(IUCN 2025) core source,2016,
Podomys floridanus,(IUCN 2025) core source,2016,
Pomarea dimidiata,(IUCN 2025) core source,2017,
Pomarea dimidiata,(IUCN 2025) core source,2017,
Pomarea fluxa,(IUCN 2025) core source,2022,
Pomarea fluxa,(IUCN 2025) core source,2022,
Pomarea iphis,(IUCN 2025) core source,2016,
Pomarea mendozae,(IUCN 2025) core source,2021,
Pomarea mendozae,(IUCN 2025) core source,2021,
Pomarea mendozae,(IUCN 2025) core source,2021,
Pomarea mira,(IUCN 2025) core source,2015,
Pomarea nigra,(IUCN 2025) core source,2019,
Pomarea whitneyi,(IUCN 2025) core source,2017,
Pomarea whitneyi,(IUCN 2025) core source,2017,
Poodytes rufescens,(IUCN 2025) core source,2022,
Poodytes rufescens,(IUCN 2025) core source,2022,
Porphyrio paepae,(IUCN 2025) core source,2022,
Porphyrio paepae,(IUCN 2025) core source,2022,
Potorous gilbertii,(IUCN 2025) core source,2015,
Potorous tridactylus,(IUCN 2025) core source,2013,
Pristidactylus volcanensis,(IUCN 2025) core source,2014,
Pristidactylus volcanensis,(IUCN 2025) core source,2014,
Procellaria aequinoctialis,(IUCN 2025) core source,2017,
Procellaria aequinoctialis,(IUCN 2025) core source,2017,
Procellaria aequinoctialis,(IUCN 2025) core source,2017,
Procellaria cinerea,(IUCN 2025) core source,2019,
Procellaria parkinsoni,(IUCN 2025) core source,2017,
Procellaria westlandica,(IUCN 2025) core source,2017,
Procyon pygmaeus,(IUCN 2025) core source,2015,
Prosobonia cancellata,(IUCN 2025) core source,2022,
Prosobonia cancellata,(IUCN 2025) core source,2022,
Prosobonia cancellata,(IUCN 2025) core source,2022,
Prosobonia parvirostris,(IUCN 2025) core source,2022,
Prosobonia parvirostris,(IUCN 2025) core source,2022,
Prosobonia parvirostris,(IUCN 2025) core source,2022,
Prosobonia parvirostris,(IUCN 2025) core source,2022,
Pseudalsophis biserialis,(IUCN 2025) core source,2013,
Pseudalsophis steindachneri,(IUCN 2025) core source,2013,
Pseudemoia cryodroma,(IUCN 2025) core source,2016,
Pseudobulweria aterrima,(IUCN 2025) core source,2017,
Pseudobulweria aterrima,(IUCN 2025) core source,2017,
Pseudobulweria becki,(IUCN 2025) core source,2017,
Pseudobulweria becki,(IUCN 2025) core source,2017,
Pseudobulweria becki,(IUCN 2025) core source,2017,
Pseudobulweria macgillivrayi,(IUCN 2025) core source,2017,
Pseudobulweria rostrata,(IUCN 2025) core source,2017,
Pseudocheirus occidentalis,(IUCN 2025) core source,2013,
Pseudocheirus occidentalis,(IUCN 2025) core source,2013,
Pseudocheirus occidentalis,(IUCN 2025) core source,2013,
Pseudocheirus occidentalis,(IUCN 2025) core source,2013,
Pseudomys auritus,(IUCN 2025) core source,2023,
Pseudomys australis,(IUCN 2025) core source,2014,
Pseudomys calabyi,(IUCN 2025) core source,2014,
Pseudomys fumeus,(IUCN 2025) core source,2014,
Pseudomys fumeus,(IUCN 2025) core source,2014,
Pseudomys fumeus,(IUCN 2025) core source,2014,
Pseudomys glaucus,(IUCN 2025) core source,2023,
Pseudomys gouldii,(IUCN 2025) core source,2022,
Pseudomys novaehollandiae,(IUCN 2025) core source,2023,
Pseudomys occidentalis,(IUCN 2025) core source,2015,
Pseudomys oralis,(IUCN 2025) core source,2015,
Pseudomys shortridgei,(IUCN 2025) core source,2023,
Pseudonestor xanthophrys,(IUCN 2025) core source,2021,
Psittirostra psittacea,(IUCN 2025) core source,2023,
Psittirostra psittacea,(IUCN 2025) core source,2023,
Psittirostra psittacea,(IUCN 2025) core source,2023,
Pterodroma alba,(IUCN 2025) core source,2019,
Pterodroma alba,(IUCN 2025) core source,2019,
Pterodroma alba,(IUCN 2025) core source,2019,
Pterodroma alba,(IUCN 2025) core source,2019,
Pterodroma arminjoniana,(IUCN 2025) core source,2017,
Pterodroma arminjoniana,(IUCN 2025) core source,2017,
Pterodroma atrata,(IUCN 2025) core source,2017,
Pterodroma axillaris,(IUCN 2025) core source,2017,
Pterodroma baraui,(IUCN 2025) core source,2017,
Pterodroma baraui,(IUCN 2025) core source,2017,
Pterodroma brevipes,(IUCN 2025) core source,2017,
Pterodroma brevipes,(IUCN 2025) core source,2017,
Pterodroma cahow,(IUCN 2025) core source,2017,
Pterodroma cervicalis,(IUCN 2025) core source,2017,
Pterodroma cookii,(IUCN 2025) core source,2017,
Pterodroma defilippiana,(IUCN 2025) core source,2017,
Pterodroma defilippiana,(IUCN 2025) core source,2017,
Pterodroma deserta,(IUCN 2025) core source,2017,
Pterodroma externa,(IUCN 2025) core source,2017,
Pterodroma externa,(IUCN 2025) core source,2017,
Pterodroma incerta,(IUCN 2025) core source,2018,
Pterodroma leucoptera,(IUCN 2025) core source,2017,
Pterodroma leucoptera,(IUCN 2025) core source,2017,
Pterodroma longirostris,(IUCN 2025) core source,2018,
Pterodroma longirostris,(IUCN 2025) core source,2018,
Pterodroma longirostris,(IUCN 2025) core source,2018,
Pterodroma longirostris,(IUCN 2025) core source,2018,
Pterodroma longirostris,(IUCN 2025) core source,2018,
Pterodroma madeira,(IUCN 2025) core source,2017,
Pterodroma magentae,(IUCN 2025) core source,2017,
Pterodroma phaeopygia,(IUCN 2025) core source,2017,
Pterodroma sandwichensis,(IUCN 2025) core source,2017,
Pterodroma sandwichensis,(IUCN 2025) core source,2017,
Pteropus dasymallus,(IUCN 2025) core source,2015,
Pteropus melanotus,(IUCN 2025) core source,2020,
Pteropus ornatus,(IUCN 2025) core source,2018,
Pteropus pselaphon,(IUCN 2025) core source,2016,
Pteropus vetula,(IUCN 2025) core source,2018,
Ptilinopus chrysogaster,(IUCN 2025) core source,2017,
Ptilinopus huttoni,(IUCN 2025) core source,2017,
Ptilinopus mercierii,(IUCN 2025) core source,2022,
Ptilinopus mercierii,(IUCN 2025) core source,2022,
Ptilinopus mercierii,(IUCN 2025) core source,2022,
Ptychoramphus aleuticus,(IUCN 2025) core source,2019,
Ptychoramphus aleuticus,(IUCN 2025) core source,2019,
Puffinus auricularis,(IUCN 2025) core source,2017,
Puffinus auricularis,(IUCN 2025) core source,2017,
Puffinus auricularis,(IUCN 2025) core source,2017,
Puffinus auricularis,(IUCN 2025) core source,2017,
Puffinus heinrothi,(IUCN 2025) core source,2017,
Puffinus heinrothi,(IUCN 2025) core source,2017,
Puffinus huttoni,(IUCN 2025) core source,2018,
Puffinus huttoni,(IUCN 2025) core source,2018,
Puffinus huttoni,(IUCN 2025) core source,2018,
Puffinus mauretanicus,(IUCN 2025) core source,2017,
Puffinus mauretanicus,(IUCN 2025) core source,2017,
Puffinus mauretanicus,(IUCN 2025) core source,2017,
Puffinus newelli,(IUCN 2025) core source,2018,
Puffinus newelli,(IUCN 2025) core source,2018,
Puffinus newelli,(IUCN 2025) core source,2018,
Puffinus newelli,(IUCN 2025) core source,2018,
Puffinus newelli,(IUCN 2025) core source,2018,
Puffinus opisthomelas,(IUCN 2025) core source,2020,
Puffinus opisthomelas,(IUCN 2025) core source,2020,
Puffinus opisthomelas,(IUCN 2025) core source,2020,
Puffinus opisthomelas,(IUCN 2025) core source,2020,
Puffinus yelkouan,(IUCN 2025) core source,2017,
Pyrrhula murina,(IUCN 2025) core source,2020,
Pyrrhula murina,(IUCN 2025) core source,2020,
Pyrrhula murina,(IUCN 2025) core source,2020,
Ramphocinclus brachyurus,(IUCN 2025) core source,2019,
Raorchestes primarrumpfi,(IUCN 2025) core source,2019,
Raorchestes primarrumpfi,(IUCN 2025) core source,2019,
Raorchestes tinniens,(IUCN 2025) core source,2019,
Raorchestes tinniens,(IUCN 2025) core source,2019,
Raorchestes tinniens,(IUCN 2025) core source,2019,
Rattus detentus,(IUCN 2025) core source,2023,
Reithrodontomys musseri,(IUCN 2025) core source,2023,
Reithrodontomys raviventris,(IUCN 2025) core source,2016,
Reithrodontomys raviventris,(IUCN 2025) core source,2016,
Reithrodontomys spectabilis,(IUCN 2025) core source,2016,
Reithrodontomys spectabilis,(IUCN 2025) core source,2016,
Rhynchortyx cinctus,(IUCN 2025) core source,2020,
Rhynochetos jubatus,(IUCN 2025) core source,2018,
Ristella rurkii,(IUCN 2025) core source,2018,
Salanoia concolor,(IUCN 2025) core source,2014,
Salanoia concolor,(IUCN 2025) core source,2014,
Salanoia concolor,(IUCN 2025) core source,2014,
Sauromalus hispidus,(IUCN 2025) core source,2017,
Sauromalus klauberi,(IUCN 2025) core source,2017,
Sauromalus klauberi,(IUCN 2025) core source,2017,
Sauromalus slevini,(IUCN 2025) core source,2017,
Saxicola dacotiae,(IUCN 2025) core source,2021,
Saxicola dacotiae,(IUCN 2025) core source,2021,
Scolopax mira,(IUCN 2025) core source,2015,
Scolopax mira,(IUCN 2025) core source,2015,
Sephanoides fernandensis,(IUCN 2025) core source,2019,
Sephanoides fernandensis,(IUCN 2025) core source,2019,
Sephanoides fernandensis,(IUCN 2025) core source,2019,
Sephanoides fernandensis,(IUCN 2025) core source,2019,
Sephanoides fernandensis,(IUCN 2025) core source,2019,
Sephanoides fernandensis,(IUCN 2025) core source,2019,
Sephanoides fernandensis,(IUCN 2025) core source,2019,
Sephanoides fernandensis,(IUCN 2025) core source,2019,
Sephanoides fernandensis,(IUCN 2025) core source,2019,
Sephanoides fernandensis,(IUCN 2025) core source,2019,
Sephanoides fernandensis,(IUCN 2025) core source,2019,
Setonix brachyurus,(IUCN 2025) core source,2011,
Setonix brachyurus,(IUCN 2025) core source,2011,
Setonix brachyurus,(IUCN 2025) core source,2011,
Setonix brachyurus,(IUCN 2025) core source,2011,
Setonix brachyurus,(IUCN 2025) core source,2011,
Setonix brachyurus,(IUCN 2025) core source,2011,
Setophaga graysoni,(IUCN 2025) core source,2019,
Sigaloseps balios,(IUCN 2025) core source,2016,
Sigaloseps conditus,(IUCN 2025) core source,2016,
Sigaloseps ruficauda,(IUCN 2025) core source,2016,
Sigaloseps ruficauda,(IUCN 2025) core source,2016,
Sittiparus owstoni,(IUCN 2025) core source,2016,
Sminthopsis bindi,(IUCN 2025) core source,2013,
Sminthopsis butleri,(IUCN 2025) core source,2014,
Sminthopsis douglasi,(IUCN 2025) core source,2014,
Sminthopsis douglasi,(IUCN 2025) core source,2014,
Sminthopsis psammophila,(IUCN 2025) core source,2013,
Solenodon marcanoi,(IUCN 2025) core source,2017,
Solenodon marcanoi,(IUCN 2025) core source,2017,
Sphaerodactylus beattyi,(IUCN 2025) core source,2014,
Sphaerodactylus inaguae,(IUCN 2025) core source,2014,
Sphaerodactylus kirbyi,(IUCN 2025) core source,2010,
Sphaerodactylus kirbyi,(IUCN 2025) core source,2010,
Sphaerodactylus mariguanae,(IUCN 2025) core source,2014,
Sphaerodactylus mariguanae,(IUCN 2025) core source,2014,
Sphaerodactylus mariguanae,(IUCN 2025) core source,2014,
Spheniscus demersus,(IUCN 2025) core source,2023,
Spheniscus demersus,(IUCN 2025) core source,2023,
Spheniscus demersus,(IUCN 2025) core source,2023,
Spheniscus demersus,(IUCN 2025) core source,2023,
Spheniscus demersus,(IUCN 2025) core source,2023,
Spheniscus humboldti,(IUCN 2025) core source,2019,
Spheniscus mendiculus,(IUCN 2025) core source,2019,
Spheniscus mendiculus,(IUCN 2025) core source,2019,
Spheniscus mendiculus,(IUCN 2025) core source,2019,
Spheniscus mendiculus,(IUCN 2025) core source,2019,
Spilogale pygmaea,(IUCN 2025) core source,2014,
Spilogale pygmaea,(IUCN 2025) core source,2014,
Spizocorys fringillaris,(IUCN 2025) core source,2019,
Spondylurus anegadae,(IUCN 2025) core source,2014,
Spondylurus caicosae,(IUCN 2025) core source,2014,
Spondylurus fulgidus,(IUCN 2025) core source,2014,
Spondylurus monae,(IUCN 2025) core source,2012,
Spondylurus monae,(IUCN 2025) core source,2012,
Sterna striata,(IUCN 2025) core source,2017,
Sterna virgata,(IUCN 2025) core source,2017,
Sterna virgata,(IUCN 2025) core source,2017,
Sternula lorata,(IUCN 2025) core source,2017,
Sternula lorata,(IUCN 2025) core source,2017,
Sternula nereis,(IUCN 2025) core source,2017,
Sternula nereis,(IUCN 2025) core source,2017,
Strigops habroptilus,(IUCN 2025) core source,2017,
Sylvilagus dicei,(IUCN 2025) core source,2015,
Sylvilagus mansuetus,(IUCN 2025) core source,2015,
Sylvilagus mansuetus,(IUCN 2025) core source,2015,
Sylvilagus mansuetus,(IUCN 2025) core source,2015,
Sylvilagus mansuetus,(IUCN 2025) core source,2015,
Sylvilagus mansuetus,(IUCN 2025) core source,2015,
Sylvilagus mansuetus,(IUCN 2025) core source,2015,
Synthliboramphus craveri,(IUCN 2025) core source,2019,
Synthliboramphus craveri,(IUCN 2025) core source,2019,
Synthliboramphus hypoleucus,(IUCN 2025) core source,2017,
Synthliboramphus hypoleucus,(IUCN 2025) core source,2017,
Synthliboramphus scrippsi,(IUCN 2025) core source,2019,
Synthliboramphus scrippsi,(IUCN 2025) core source,2019,
Synthliboramphus scrippsi,(IUCN 2025) core source,2019,
Synthliboramphus wumizusume,(IUCN 2025) core source,2017,
Synthliboramphus wumizusume,(IUCN 2025) core source,2017,
Synthliboramphus wumizusume,(IUCN 2025) core source,2017,
Syrmaticus soemmerringii,(IUCN 2025) core source,2015,
Tarentola raziana,(IUCN 2025) core source,2011,
Tarsius dentatus,(IUCN 2025) core source,2014,
Tarsius dentatus,(IUCN 2025) core source,2014,
Tarsius fuscus,(IUCN 2025) core source,2019,
Tarsius niemitzi,(IUCN 2025) core source,2019,
Tarsius pelengensis,(IUCN 2025) core source,2014,
Tarsius pelengensis,(IUCN 2025) core source,2014,
Tarsius spectrumgurskyae,(IUCN 2025) core source,2019,
Tarsius supriatnai,(IUCN 2025) core source,2019,
Tarsius tarsier,(IUCN 2025) core source,2014,
Tarsius tarsier,(IUCN 2025) core source,2014,
Thalassarche steadi,(IUCN 2025) core source,2017,
Thalassarche steadi,(IUCN 2025) core source,2017,
Thalassarche steadi,(IUCN 2025) core source,2017,
Thamnophis gigas,(IUCN 2025) core source,2006,
Thamnophis gigas,(IUCN 2025) core source,2006,
Thinornis cucullatus,(IUCN 2025) core source,2015,
Thinornis cucullatus,(IUCN 2025) core source,2015,
Thinornis novaeseelandiae,(IUCN 2025) core source,2021,
Thinornis novaeseelandiae,(IUCN 2025) core source,2021,
Thinornis novaeseelandiae,(IUCN 2025) core source,2021,
Threskiornis solitarius,(IUCN 2025) core source,2023,
Todiramphus cinnamominus,(IUCN 2025) core source,2023,
Todiramphus cinnamominus,(IUCN 2025) core source,2023,
Todiramphus gambieri,(IUCN 2025) core source,2023,
