scientificName,value,pub_year,Note
Anas wyvilliana,(Engilis Jr & Pratt 1993),1993,
Bavayia exsuccida,(Whitaker et al. 2005),2005,
Bavayia goroensis,(Whitaker et al. 2005),2005,
Bavayia ornata,(Whitaker et al. 2005),2005,
Dierogekko kaalaensis,(Bauer et al. 2006a),2006,
Dierogekko koniambo,(Bauer et al. 2006a),2006,
Dierogekko poumensis,(Bauer et al. 2006a),2006,
Dierogekko validiclavis,(Bauer et al. 2006a),2006,
Eurydactylodes occidentalis,(Bauer et al. 2006a),2006,
Oedodera marmorata,(Bauer et al. 2006a),2006,
Dierogekko inexpectatus,(Bauer et al. 2006b),2006,
Dierogekko nehoueensis,(Bauer et al. 2006b),2006,
Dierogekko thomaswhitei,(Bauer et al. 2006b),2006,
Reithrodontomys raviventris,(Meckstroth et al. 2007),2007,
Amazona barbadensis,(Rodríguez-Ferraro & Sanz 2007),2007,
Aphanapteryx bonasia,(Cheke 1987),1987,
Pezophaps solitaria,(Cheke 1987),1987,
Gallotia bravoana,(Valido et al. 2000),2000,
Todiramphus godeffroyi,(Autai et al. 2012),2012,
Diomedea antipodensis,(ACAP 2009a),2009,
Diomedea amsterdamensis,(ACAP 2010a),2010,
Phoebetria fusca,(ACAP 2010c),2010,
Chioninia coctei,(Andreone & Guarino 2003),2003,
Puffinus mauretanicus,(Arcos 2011),2011,
Urosaurus auriculatus,(Arnaud et al. 1993),1993,
Spheniscus humboldti,(Araya et al. 2000),2000,
Mystacina tuberculata,(Lloyd 2001),2001,
Pterodroma alba,(Gangloff et al. 2009),2009,
Lagostrophus fasciatus,(Hardman 2006),2006,
Hypotaenidia sylvestris,(Miller & Mullette 1985),1985,
Hydrobates macrodactylus,(Keitt et al. 2005),2005,
Cyclura collei,(Wilson & van Veen 2005),2005,
Gonatodes daudini,(Bentz et al. 2011),2011,
Sphaerodactylus kirbyi,(Bentz et al. 2011),2011,
Puffinus yelkouan,(Bonnaud et al. 2012),2012,
Diplothrix legata,(Bonnaud et al. 2010a),2010,
Pentalagus furnessi,(Bonnaud et al. 2010a),2010,
Sylvilagus mansuetus,(Bonnaud et al. 2010a),2010,
Traversia lyalli,(Buller & Keulemans 1905),1905,
Traversia lyalli,(Buller & Keulemans 1905),1905,
Dasyornis longirostris,(Burbidge et al. 2010),2010,
Charadrius sanctaehelenae,(Burns et al. 2013),2013,
Charadrius sanctaehelenae,(Burns et al. 2013),2013,
Chlidonias albostriatus,(O'Donnell & Hoare 2011),2011,
Falco punctatus,(Jones et al. 1995),1995,
Chelonoidis niger,(MacFarland et al. 1974a),1974,
Chelonoidis niger,(MacFarland et al. 1974a),1974,
Chelonoidis niger,(MacFarland et al. 1974b),1974,
Diomedea sanfordi,(Robertson 2001),2001,
Sylvilagus mansuetus,(Lorenzo et al. 2011),2011,
Isoodon auratus,(Palmer et al. 2003),2003,
Pterodroma cervicalis,(Veitch et al. 2004),2004,
Falco punctatus,(Cade & Jones 1993),1993,
Geocapromys thoracatus,(Clough 1976),1976,
Didunculus strigirostris,(Collar 2015),2015,
Leporillus conditor,(Copley 1999a),1999,
Pterodroma sandwichensis,(Duffy & Capece 2014),2014,
Todiramphus gambieri,(Kesler et al. 2012),2012,
Charadrius obscurus,(Wills et al. 2003),2003,
Charadrius obscurus,(Wills et al. 2003),2003,
Pteropus melanotus,(James et al. 2007),2007,
Pseudobulweria macgillivrayi,(Priddel et al. 2008),2008,
Leipoa ocellata,(Priddel & Wheeler 1996),1996,
Leipoa ocellata,(Priddel & Wheeler 1997),1997,
Leipoa ocellata,(Priddel & Wheeler 1994),1994,
Megadyptes antipodes,(Darby et al. 1990),1990,
Megadyptes antipodes,(Darby et al. 1990),1990,
Megadyptes antipodes,(Darby et al. 1990),1990,
Megadyptes antipodes,(Darby et al. 1990),1990,
Megadyptes antipodes,(Darby et al. 1990),1990,
Megadyptes antipodes,(Darby et al. 1990),1990,
Megadyptes antipodes,(Darby et al. 1990),1990,
Puffinus newelli,(Day et al. 2003),2003,
Spheniscus mendiculus,(Deem et al. 2010),2010,
Petroica traversi,(Conservation 2001a),2001,
