cited_by_id,from_key,article_id,to_key,edge_type,scientificName,encounter_method,source_year,article_year
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Corvus kubaryi,(IUCN 2025) core source_claim,(IUCN 2025) core source | Corvus kubaryi,citation,Corvus kubaryi,core_sources,2014,2017
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Coturnix novaezelandiae,(IUCN 2025) core source_claim,(IUCN 2025) core source | Coturnix novaezelandiae,citation,Coturnix novaezelandiae,core_sources,2014,2022
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Crocidura canariensis,(IUCN 2025) core source_claim,(IUCN 2025) core source | Crocidura canariensis,citation,Crocidura canariensis,core_sources,2014,2021
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Ctenosaura bakeri,(IUCN 2025) core source_claim,(IUCN 2025) core source | Ctenosaura bakeri,citation,Ctenosaura bakeri,core_sources,2014,2017
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Cyanoramphus forbesi,(IUCN 2025) core source_claim,(IUCN 2025) core source | Cyanoramphus forbesi,citation,Cyanoramphus forbesi,core_sources,2014,2021
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Cyclura collei,(IUCN 2025) core source_claim,(IUCN 2025) core source | Cyclura collei,citation,Cyclura collei,core_sources,2014,2020
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Cyclura cornuta,(IUCN 2025) core source_claim,(IUCN 2025) core source | Cyclura cornuta,citation,Cyclura cornuta,core_sources,2014,2017
(Medina et al. 2011) core source_claim,(Medina et al. 2011) core source | Cyclura cornuta,(IUCN 2025) core source_claim,(IUCN 2025) core source | Cyclura cornuta,citation,Cyclura cornuta,core_sources,2009,2017
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Dendrocygna arborea,(IUCN 2025) core source_claim,(IUCN 2025) core source | Dendrocygna arborea,citation,Dendrocygna arborea,core_sources,2014,2018
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Didunculus strigirostris,(IUCN 2025) core source_claim,(IUCN 2025) core source | Didunculus strigirostris,citation,Didunculus strigirostris,core_sources,2014,2015
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Dierogekko inexpectatus,(IUCN 2025) core source_claim,(IUCN 2025) core source | Dierogekko inexpectatus,citation,Dierogekko inexpectatus,core_sources,2014,2016
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Dierogekko kaalaensis,(IUCN 2025) core source_claim,(IUCN 2025) core source | Dierogekko kaalaensis,citation,Dierogekko kaalaensis,core_sources,2014,2016
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Dierogekko koniambo,(IUCN 2025) core source_claim,(IUCN 2025) core source | Dierogekko koniambo,citation,Dierogekko koniambo,core_sources,2014,2016
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Dierogekko nehoueensis,(IUCN 2025) core source_claim,(IUCN 2025) core source | Dierogekko nehoueensis,citation,Dierogekko nehoueensis,core_sources,2014,2016
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Dierogekko poumensis,(IUCN 2025) core source_claim,(IUCN 2025) core source | Dierogekko poumensis,citation,Dierogekko poumensis,core_sources,2014,2016
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Dierogekko thomaswhitei,(IUCN 2025) core source_claim,(IUCN 2025) core source | Dierogekko thomaswhitei,citation,Dierogekko thomaswhitei,core_sources,2014,2016
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Dierogekko validiclavis,(IUCN 2025) core source_claim,(IUCN 2025) core source | Dierogekko validiclavis,citation,Dierogekko validiclavis,core_sources,2014,2016
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Diomedea exulans,(IUCN 2025) core source_claim,(IUCN 2025) core source | Diomedea exulans,citation,Diomedea exulans,core_sources,2014,2017
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Diomedea sanfordi,(IUCN 2025) core source_claim,(IUCN 2025) core source | Diomedea sanfordi,citation,Diomedea sanfordi,core_sources,2014,2017
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Dryolimnas augusti,(IUCN 2025) core source_claim,(IUCN 2025) core source | Dryolimnas augusti,citation,Dryolimnas augusti,core_sources,2014,2023
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Dysmorodrepanis munroi,(IUCN 2025) core source_claim,(IUCN 2025) core source | Dysmorodrepanis munroi,citation,Dysmorodrepanis munroi,core_sources,2014,2022
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Emoia loyaltiensis,(IUCN 2025) core source_claim,(IUCN 2025) core source | Emoia loyaltiensis,citation,Emoia loyaltiensis,core_sources,2014,2016
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Eurostopodus exul,(IUCN 2025) core source_claim,(IUCN 2025) core source | Eurostopodus exul,citation,Eurostopodus exul,core_sources,2014,2017
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Eurydactylodes occidentalis,(IUCN 2025) core source_claim,(IUCN 2025) core source | Eurydactylodes occidentalis,citation,Eurydactylodes occidentalis,core_sources,2014,2016
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Eurydactylodes symmetricus,(IUCN 2025) core source_claim,(IUCN 2025) core source | Eurydactylodes symmetricus,citation,Eurydactylodes symmetricus,core_sources,2014,2016
